"Step","model_type: resnet - Train/Losses","model_type: resnet - Train/Losses__MIN","model_type: resnet - Train/Losses__MAX"
"50","2.3106545209884644","2.2800276279449463","2.337306499481201"
"100","2.1356378197669983","2.0696020126342773","2.1949269771575928"
"150","1.9097736179828644","1.8046586513519287","2.007546901702881"
"200","1.8300688564777374","1.7506321668624878","1.906184196472168"
"250","1.7486812472343445","1.6584761142730713","1.8327990770339966"
"300","1.547172635793686","1.427295207977295","1.6537041664123535"
"350","1.48704993724823","1.3835790157318115","1.5812230110168457"
"400","1.4900396168231964","1.3754583597183228","1.5909419059753418"
"450","1.3642958104610443","1.2454144954681396","1.4726455211639404"
"500","1.3081141412258148","1.1948354244232178","1.418772578239441"
"550","1.3346986770629883","1.2471482753753662","1.4300297498703003"
"600","1.1180720329284668","1.012571096420288","1.2234289646148682"
"650","1.0905044674873352","0.9351464509963989","1.2235910892486572"
"700","1.0579236298799515","0.9353640079498291","1.1672773361206055"
"750","0.9732079952955246","0.8506006002426147","1.077448844909668"
"800","1.031646966934204","0.8763823509216309","1.1753082275390625"
"850","0.9460038840770721","0.8188873529434204","1.065324306488037"
"900","0.8657561242580414","0.7345691323280334","0.9863713383674622"
"950","0.8316965401172638","0.7193225622177124","0.9251900911331177"
"1000","0.8225790560245514","0.7180227041244507","0.9300533533096313"
"1050","0.724567785859108","0.6450226306915283","0.8093621134757996"
"1100","0.6864526569843292","0.5716168284416199","0.7912855744361877"
"1150","0.7044091820716858","0.592663049697876","0.8140658140182495"
"1200","0.6216324120759964","0.5119161605834961","0.724297046661377"
"1250","0.6267977356910706","0.5263489484786987","0.7268201112747192"
"1300","0.6978893727064133","0.5932811498641968","0.793221116065979"
"1350","0.5686838403344154","0.4753093719482422","0.6572606563568115"
"1400","0.5695251300930977","0.47978466749191284","0.660204291343689"
"1450","0.5624137967824936","0.4561083912849426","0.6561729907989502"
"1500","0.5497842878103256","0.46053630113601685","0.6305532455444336"
"1550","0.5668786615133286","0.4825831353664398","0.6673772931098938"
"1600","0.4637085795402527","0.39725086092948914","0.5401209592819214"
"1650","0.4498963728547096","0.36639532446861267","0.5433640480041504"
"1700","0.4843832850456238","0.41236406564712524","0.5589167475700378"
"1750","0.37912630289793015","0.31537094712257385","0.4466344714164734"
"1800","0.4427245408296585","0.3623579144477844","0.5232645273208618"
"1850","0.34809597581624985","0.2694709002971649","0.41176843643188477"
"1900","0.4105743244290352","0.3470322787761688","0.49583899974823"
"1950","0.41650422662496567","0.34999144077301025","0.47587549686431885"
"2000","0.4106764867901802","0.3428424894809723","0.47683385014533997"
"2050","0.3450683429837227","0.28652718663215637","0.40136581659317017"
"2100","0.353963203728199","0.2982165217399597","0.41722333431243896"
"2150","0.34261371195316315","0.2887174189090729","0.39635732769966125"
"2200","0.3568488135933876","0.32521820068359375","0.39637184143066406"
"2250","0.3607571944594383","0.307661771774292","0.41816839575767517"
"2300","0.30209098756313324","0.22755253314971924","0.3651686906814575"
"2350","0.3688844367861748","0.3344404697418213","0.4064944088459015"
"2400","0.2855416163802147","0.2502802312374115","0.31422924995422363"
"2450","0.351205512881279","0.2890172600746155","0.4054138660430908"
"2500","0.3055179491639137","0.25818079710006714","0.3502751588821411"
"2550","0.3371398076415062","0.29450666904449463","0.3870766758918762"
"2600","0.3305417373776436","0.2714739441871643","0.3885345160961151"
"2650","0.311143159866333","0.2700337767601013","0.35451388359069824"
"2700","0.344915509223938","0.2663872241973877","0.40493208169937134"
"2750","0.27211572974920273","0.2500650882720947","0.29280346632003784"
"2800","0.27345407754182816","0.21509812772274017","0.33745869994163513"
"2850","0.28010350838303566","0.24469217658042908","0.32029274106025696"
"2900","0.32034361362457275","0.2752886414527893","0.3620002269744873"
"2950","0.30841343849897385","0.25096797943115234","0.3741839528083801"
"3000","0.3224151283502579","0.2656385898590088","0.36903291940689087"
"3050","0.2874250076711178","0.22460202872753143","0.33135807514190674"
"3100","0.2661227881908417","0.2220151722431183","0.31180816888809204"
"3150","0.25095531716942787","0.228522390127182","0.2804867625236511"
"3200","0.2455332987010479","0.20539532601833344","0.28635668754577637"
"3250","0.2671090215444565","0.22821782529354095","0.30004948377609253"
"3300","0.27620522677898407","0.228204607963562","0.32446587085723877"
"3350","0.3163727633655071","0.24892450869083405","0.40064018964767456"
"3400","0.2606431469321251","0.22206440567970276","0.29261845350265503"
"3450","0.2303951159119606","0.1812753975391388","0.2818002700805664"
"3500","0.24661414325237274","0.1876434087753296","0.306817889213562"
"3550","0.2550487369298935","0.21942183375358582","0.29549726843833923"
"3600","0.20927292481064796","0.17305706441402435","0.25376835465431213"
"3650","0.2523024417459965","0.22133713960647583","0.2799379825592041"
"3700","0.22579048573970795","0.21204113960266113","0.25234970450401306"
"3750","0.2299271747469902","0.19958427548408508","0.2614373564720154"
"3800","0.23898253962397575","0.20625348389148712","0.26940178871154785"
"3850","0.24593834206461906","0.21372327208518982","0.29377105832099915"
"3900","0.2529459409415722","0.22506389021873474","0.29779356718063354"
"3950","0.29320069402456284","0.26449066400527954","0.3089918792247772"
"4000","0.26265905052423477","0.23130562901496887","0.2970680296421051"
"4050","0.2425953447818756","0.2086588442325592","0.27296990156173706"
"4100","0.2396312952041626","0.1731119602918625","0.3102847933769226"
"4150","0.26748527586460114","0.2227308750152588","0.3120974004268646"
"4200","0.2289147861301899","0.20438943803310394","0.26372087001800537"
"4250","0.25691497325897217","0.19710710644721985","0.30137595534324646"
"4300","0.21241775155067444","0.17005357146263123","0.2558205723762512"
"4350","0.24061192572116852","0.19013765454292297","0.2808370590209961"
"4400","0.21933433413505554","0.17840123176574707","0.2623068690299988"
"4450","0.2443689964711666","0.21774594485759735","0.2694888412952423"
"4500","0.22534220665693283","0.1998976469039917","0.2473689615726471"
"4550","0.21620852500200272","0.17641232907772064","0.24126194417476654"
"4600","0.24528026953339577","0.2155126929283142","0.27279144525527954"
"4650","0.2173749804496765","0.1882837861776352","0.2409805804491043"
"4700","0.19736704602837563","0.17310911417007446","0.22133630514144897"
"4750","0.20642076805233955","0.1708187758922577","0.2261178195476532"
"4800","0.1882900483906269","0.16640232503414154","0.20960566401481628"
"4850","0.23040059208869934","0.18482917547225952","0.2673250436782837"
"4900","0.2430785484611988","0.20297597348690033","0.28531724214553833"
"4950","0.1868014559149742","0.14934079349040985","0.2252005636692047"
"5000","0.21917814388871193","0.18725579977035522","0.2540855407714844"
"5050","0.17365650087594986","0.14689305424690247","0.2010307013988495"
"5100","0.22090692073106766","0.15868748724460602","0.28935569524765015"
"5150","0.21262386068701744","0.19342955946922302","0.23071566224098206"
"5200","0.2381511889398098","0.195088192820549","0.28136077523231506"
"5250","0.21398551017045975","0.18892359733581543","0.2398996353149414"
"5300","0.18417369574308395","0.13184472918510437","0.23530417680740356"
"5350","0.22611213847994804","0.20574307441711426","0.2494000643491745"
"5400","0.17396586015820503","0.15038049221038818","0.2090775966644287"
"5450","0.20692141726613045","0.1861550211906433","0.23163627088069916"
"5500","0.23493213206529617","0.20626461505889893","0.2611154317855835"
"5550","0.19131867960095406","0.16356006264686584","0.22621361911296844"
"5600","0.2185681313276291","0.19586969912052155","0.23777921497821808"
"5650","0.18030021339654922","0.13140200078487396","0.21157847344875336"
"5700","0.23311901837587357","0.20423123240470886","0.2750757932662964"
"5750","0.19124124944210052","0.16241130232810974","0.2035583257675171"
"5800","0.19742817804217339","0.17216050624847412","0.23176777362823486"
"5850","0.17769968137145042","0.14286798238754272","0.2059820592403412"
"5900","0.1495329812169075","0.11695100367069244","0.17034906148910522"
"5950","0.17757848277688026","0.1578747034072876","0.20023170113563538"
"6000","0.2167714759707451","0.1758352816104889","0.26195600628852844"
"6050","0.19502067938446999","0.1820364147424698","0.2227308750152588"
"6100","0.17535973340272903","0.14013364911079407","0.20534071326255798"
"6150","0.21158670261502266","0.19593927264213562","0.2264247089624405"
"6200","0.18262135237455368","0.15215229988098145","0.21790474653244019"
"6250","0.16570918634533882","0.14283747971057892","0.19031557440757751"
"6300","0.1922476515173912","0.16008880734443665","0.21288463473320007"
"6350","0.18030081316828728","0.14191395044326782","0.21698705852031708"
"6400","0.15229002758860588","0.11725717782974243","0.1785435974597931"
"6450","0.1692003346979618","0.14554886519908905","0.1940912902355194"
"6500","0.18272898346185684","0.15486128628253937","0.21337290108203888"
"6550","0.16216828301548958","0.14955757558345795","0.18321728706359863"
"6600","0.12402796372771263","0.10180455446243286","0.1399114429950714"
"6650","0.18445292487740517","0.1481442004442215","0.22068791091442108"
"6700","0.14224915206432343","0.1365908533334732","0.1480991542339325"
"6750","0.14932666532695293","0.12412004917860031","0.1775362193584442"
