"Step","postactivation_production: kan - Train/Accuracies_every_step","postactivation_production: kan - Train/Accuracies_every_step__MIN","postactivation_production: kan - Train/Accuracies_every_step__MAX","postactivation_production: mlp - Train/Accuracies_every_step","postactivation_production: mlp - Train/Accuracies_every_step__MIN","postactivation_production: mlp - Train/Accuracies_every_step__MAX"
"0","0.10677083333333333","0.046875","0.171875","0.11284722222222222","0.0625","0.140625"
"21","0.09895833333333333","0.046875","0.140625","0.08854166666666667","0.03125","0.140625"
"48","0.13802083333333334","0.078125","0.1875","0.078125","0.078125","0.078125"
"59","0.09895833333333333","0.0625","0.15625","0.125","0.0625","0.1875"
"72","0.1015625","0.0625","0.140625","0.09722222222222222","0.0625","0.109375"
"118","0.08854166666666667","0.03125","0.15625","0.13020833333333334","0.046875","0.21875"
"148","0.09375","0.015625","0.140625","0.09027777777777778","0.046875","0.109375"
"150","0.13020833333333334","0.015625","0.1875","0.11979166666666667","0.109375","0.125"
"153","0.078125","0.0625","0.09375","0.10069444444444445","0.0625","0.15625"
"154","0.0859375","0.046875","0.125","0.10243055555555555","0.078125","0.125"
"163","0.08333333333333333","0.046875","0.140625","0.078125","0.015625","0.125"
"184","0.09114583333333333","0.0625","0.125","0.0920138888888889","0.046875","0.15625"
"224","0.09114583333333333","0.03125","0.171875","0.11631944444444445","0.078125","0.171875"
"249","0.10677083333333333","0.03125","0.15625","0.13368055555555555","0.078125","0.1875"
"258","0.1171875","0.046875","0.171875","0.09027777777777778","0.046875","0.125"
"265","0.125","0.078125","0.140625","0.15625","0.09375","0.265625"
"277","0.125","0.078125","0.203125","0.13020833333333334","0.078125","0.25"
"280","0.1484375","0.0625","0.21875","0.12152777777777778","0.09375","0.21875"
"291","0.13541666666666666","0.0625","0.234375","0.1597222222222222","0.046875","0.234375"
"300","0.1875","0.171875","0.25","0.14583333333333334","0.0625","0.21875"
"304","0.15625","0.09375","0.265625","0.13194444444444445","0.078125","0.1875"
"317","0.15625","0.0625","0.234375","0.1701388888888889","0.0625","0.234375"
"336","0.22916666666666666","0.140625","0.34375","0.20833333333333334","0.125","0.265625"
"352","0.15625","0.109375","0.203125","0.16145833333333334","0.140625","0.21875"
"367","0.15625","0.109375","0.1875","0.13020833333333334","0.09375","0.171875"
"388","0.1953125","0.171875","0.25","0.13541666666666666","0.09375","0.203125"
"404","0.17447916666666666","0.125","0.25","0.22569444444444445","0.125","0.3125"
"424","0.2421875","0.1875","0.28125","0.2013888888888889","0.15625","0.234375"
"429","0.21614583333333334","0.15625","0.25","0.21354166666666666","0.15625","0.265625"
"434","0.22135416666666666","0.125","0.328125","0.19270833333333334","0.171875","0.21875"
"464","0.23697916666666666","0.171875","0.390625","0.19270833333333334","0.15625","0.25"
"476","0.22395833333333334","0.171875","0.28125","0.2777777777777778","0.125","0.359375"
"514","0.2786458333333333","0.171875","0.359375","0.2777777777777778","0.171875","0.375"
"518","0.2734375","0.21875","0.328125","0.2152777777777778","0.171875","0.359375"
"533","0.2526041666666667","0.140625","0.3125","0.2465277777777778","0.15625","0.40625"
"548","0.3229166666666667","0.234375","0.40625","0.24479166666666666","0.140625","0.3125"
"577","0.3255208333333333","0.234375","0.375","0.2743055555555556","0.234375","0.296875"
"585","0.296875","0.234375","0.359375","0.22743055555555555","0.171875","0.265625"
"612","0.3046875","0.234375","0.359375","0.296875","0.25","0.328125"
"645","0.2604166666666667","0.203125","0.3125","0.2708333333333333","0.1875","0.296875"
"651","0.3255208333333333","0.25","0.390625","0.2690972222222222","0.21875","0.296875"
"662","0.296875","0.171875","0.359375","0.2534722222222222","0.21875","0.390625"
"675","0.3046875","0.265625","0.390625","0.2534722222222222","0.203125","0.328125"
"685","0.3020833333333333","0.203125","0.421875","0.2534722222222222","0.1875","0.359375"
"702","0.3151041666666667","0.234375","0.390625","0.2864583333333333","0.171875","0.46875"
"751","0.3567708333333333","0.3125","0.421875","0.3246527777777778","0.171875","0.4375"
"754","0.2552083333333333","0.203125","0.359375","0.3229166666666667","0.234375","0.390625"
"762","0.2916666666666667","0.1875","0.390625","0.2986111111111111","0.25","0.375"
"788","0.2890625","0.171875","0.34375","0.2864583333333333","0.21875","0.34375"
"801","0.3723958333333333","0.3125","0.4375","0.3142361111111111","0.265625","0.34375"
"806","0.3046875","0.21875","0.375","0.3472222222222222","0.328125","0.40625"
"812","0.3125","0.25","0.390625","0.34375","0.265625","0.453125"
"839","0.3255208333333333","0.25","0.359375","0.2795138888888889","0.1875","0.40625"
"881","0.3802083333333333","0.3125","0.453125","0.2777777777777778","0.1875","0.390625"
"884","0.4010416666666667","0.359375","0.453125","0.3732638888888889","0.28125","0.453125"
"913","0.3541666666666667","0.3125","0.40625","0.3541666666666667","0.265625","0.453125"
"921","0.3072916666666667","0.25","0.390625","0.3211805555555556","0.1875","0.390625"
"947","0.3932291666666667","0.328125","0.46875","0.3663194444444444","0.296875","0.421875"
"961","0.4036458333333333","0.265625","0.484375","0.2916666666666667","0.234375","0.359375"
"962","0.3515625","0.25","0.4375","0.2569444444444444","0.15625","0.421875"
"964","0.3515625","0.28125","0.453125","0.3072916666666667","0.25","0.390625"
"975","0.3723958333333333","0.328125","0.40625","0.34375","0.265625","0.390625"
"990","0.3802083333333333","0.3125","0.46875","0.2951388888888889","0.234375","0.375"
"996","0.3932291666666667","0.34375","0.515625","0.3350694444444444","0.234375","0.421875"
"997","0.3515625","0.296875","0.40625","0.3524305555555556","0.25","0.46875"
"1010","0.2942708333333333","0.21875","0.34375","0.3020833333333333","0.234375","0.359375"
"1020","0.359375","0.3125","0.453125","0.3246527777777778","0.28125","0.375"
"1025","0.3567708333333333","0.28125","0.40625","0.3715277777777778","0.28125","0.4375"
"1049","0.3541666666666667","0.296875","0.4375","0.3263888888888889","0.203125","0.40625"
"1066","0.3802083333333333","0.328125","0.4375","0.3211805555555556","0.28125","0.390625"
"1074","0.4088541666666667","0.296875","0.578125","0.3454861111111111","0.265625","0.390625"
"1084","0.3828125","0.328125","0.453125","0.3229166666666667","0.265625","0.34375"
"1103","0.4010416666666667","0.1875","0.546875","0.3368055555555556","0.296875","0.375"
"1112","0.40625","0.34375","0.46875","0.3819444444444444","0.296875","0.4375"
"1128","0.375","0.21875","0.53125","0.3402777777777778","0.296875","0.390625"
"1130","0.4036458333333333","0.28125","0.453125","0.3263888888888889","0.234375","0.453125"
"1136","0.3932291666666667","0.34375","0.46875","0.3315972222222222","0.25","0.390625"
"1163","0.3932291666666667","0.296875","0.484375","0.3194444444444444","0.234375","0.46875"
"1164","0.3958333333333333","0.28125","0.453125","0.3802083333333333","0.28125","0.53125"
"1167","0.4375","0.359375","0.5","0.3177083333333333","0.203125","0.390625"
"1182","0.4375","0.3125","0.53125","0.3506944444444444","0.265625","0.40625"
"1216","0.390625","0.328125","0.5","0.3854166666666667","0.3125","0.46875"
"1232","0.390625","0.296875","0.5","0.3072916666666667","0.234375","0.359375"
"1238","0.3984375","0.3125","0.484375","0.3975694444444444","0.3125","0.5"
"1252","0.4010416666666667","0.25","0.5625","0.3489583333333333","0.3125","0.390625"
"1268","0.3932291666666667","0.34375","0.4375","0.3645833333333333","0.234375","0.40625"
"1271","0.359375","0.3125","0.40625","0.3958333333333333","0.34375","0.453125"
"1301","0.3984375","0.25","0.484375","0.3368055555555556","0.296875","0.46875"
"1350","0.3958333333333333","0.328125","0.484375","0.3489583333333333","0.296875","0.4375"
"1351","0.4505208333333333","0.390625","0.484375","0.3506944444444444","0.296875","0.390625"
"1362","0.4427083333333333","0.359375","0.5","0.3680555555555556","0.3125","0.484375"
"1366","0.4348958333333333","0.34375","0.609375","0.328125","0.265625","0.40625"
"1373","0.3619791666666667","0.3125","0.4375","0.390625","0.265625","0.484375"
"1403","0.4375","0.328125","0.515625","0.3559027777777778","0.296875","0.46875"
"1408","0.453125","0.34375","0.546875","0.3645833333333333","0.265625","0.484375"
"1428","0.3880208333333333","0.328125","0.453125","0.3854166666666667","0.34375","0.453125"
"1446","0.4661458333333333","0.296875","0.5625","0.359375","0.21875","0.46875"
"1447","0.4401041666666667","0.390625","0.546875","0.3975694444444444","0.34375","0.4375"
"1448","0.4140625","0.390625","0.4375","0.4097222222222222","0.296875","0.484375"
"1470","0.4348958333333333","0.34375","0.515625","0.390625","0.28125","0.5"
"1501","0.4322916666666667","0.34375","0.515625","0.375","0.34375","0.453125"
"1507","0.4270833333333333","0.34375","0.53125","0.3836805555555556","0.328125","0.453125"
"1511","0.4401041666666667","0.34375","0.53125","0.3888888888888889","0.328125","0.4375"
"1531","0.4401041666666667","0.40625","0.484375","0.3767361111111111","0.28125","0.515625"
"1551","0.4453125","0.359375","0.515625","0.3559027777777778","0.203125","0.453125"
"1574","0.4375","0.328125","0.515625","0.4149305555555556","0.359375","0.453125"
"1576","0.4322916666666667","0.359375","0.53125","0.3871527777777778","0.296875","0.453125"
"1589","0.4583333333333333","0.359375","0.515625","0.390625","0.3125","0.46875"
"1598","0.4166666666666667","0.34375","0.53125","0.40625","0.3125","0.46875"
"1600","0.4140625","0.359375","0.46875","0.3368055555555556","0.265625","0.46875"
"1650","0.4270833333333333","0.375","0.5625","0.4114583333333333","0.28125","0.515625"
"1686","0.3723958333333333","0.296875","0.4375","0.3420138888888889","0.296875","0.390625"
"1702","0.4791666666666667","0.421875","0.53125","0.3819444444444444","0.296875","0.546875"
"1718","0.4583333333333333","0.390625","0.5625","0.4774305555555556","0.34375","0.59375"
"1741","0.4427083333333333","0.296875","0.5625","0.3819444444444444","0.28125","0.46875"
"1760","0.4322916666666667","0.390625","0.46875","0.4357638888888889","0.359375","0.515625"
"1773","0.390625","0.3125","0.453125","0.3697916666666667","0.28125","0.46875"
"1782","0.4166666666666667","0.359375","0.5","0.4340277777777778","0.328125","0.484375"
"1792","0.4348958333333333","0.34375","0.46875","0.4166666666666667","0.3125","0.5625"
"1796","0.4505208333333333","0.390625","0.5","0.3993055555555556","0.34375","0.53125"
"1800","0.4375","0.40625","0.484375","0.4114583333333333","0.375","0.453125"
"1810","0.4401041666666667","0.390625","0.515625","0.3871527777777778","0.328125","0.53125"
"1814","0.4557291666666667","0.375","0.53125","0.3836805555555556","0.328125","0.453125"
"1821","0.4583333333333333","0.375","0.53125","0.3715277777777778","0.328125","0.46875"
"1828","0.4505208333333333","0.359375","0.578125","0.3836805555555556","0.296875","0.453125"
"1830","0.4609375","0.375","0.546875","0.3975694444444444","0.234375","0.484375"
"1832","0.5130208333333334","0.4375","0.59375","0.4097222222222222","0.34375","0.484375"
"1833","0.4583333333333333","0.390625","0.53125","0.4270833333333333","0.375","0.484375"
"1836","0.4635416666666667","0.390625","0.515625","0.3871527777777778","0.328125","0.515625"
"1846","0.4140625","0.34375","0.484375","0.4045138888888889","0.34375","0.46875"
"1878","0.4635416666666667","0.375","0.53125","0.4427083333333333","0.359375","0.59375"
"1897","0.5286458333333334","0.375","0.59375","0.4340277777777778","0.359375","0.484375"
"1933","0.453125","0.328125","0.546875","0.4392361111111111","0.390625","0.484375"
"1944","0.4427083333333333","0.40625","0.484375","0.4027777777777778","0.375","0.453125"
"1951","0.4765625","0.4375","0.53125","0.4357638888888889","0.34375","0.515625"
"1956","0.4765625","0.328125","0.578125","0.4166666666666667","0.28125","0.484375"
