"Step","State: finished - Train/Accuracies","State: finished - Train/Accuracies__MIN","State: finished - Train/Accuracies__MAX"
"72","0.490478515625","0.490478515625","0.490478515625"
"118","0.50439453125","0.50439453125","0.50439453125"
"150","0.51611328125","0.51611328125","0.51611328125"
"153","0.502685546875","0.502685546875","0.502685546875"
"163","0.498291015625","0.498291015625","0.498291015625"
"184","0.5146484375","0.5146484375","0.5146484375"
"258","0.50732421875","0.50732421875","0.50732421875"
"265","0.499755859375","0.499755859375","0.499755859375"
"277","0.50048828125","0.50048828125","0.50048828125"
"280","0.514892578125","0.514892578125","0.514892578125"
"300","0.500244140625","0.500244140625","0.500244140625"
"304","0.5087890625","0.5087890625","0.5087890625"
"317","0.498779296875","0.498779296875","0.498779296875"
"336","0.510498046875","0.510498046875","0.510498046875"
"388","0.508056640625","0.508056640625","0.508056640625"
"429","0.507080078125","0.507080078125","0.507080078125"
"476","0.507080078125","0.507080078125","0.507080078125"
"514","0.52001953125","0.52001953125","0.52001953125"
"533","0.506103515625","0.506103515625","0.506103515625"
"612","0.517333984375","0.517333984375","0.517333984375"
"651","0.51318359375","0.51318359375","0.51318359375"
"751","0.505859375","0.505859375","0.505859375"
"762","0.51513671875","0.51513671875","0.51513671875"
"788","0.511962890625","0.511962890625","0.511962890625"
"806","0.4970703125","0.4970703125","0.4970703125"
"921","0.51611328125","0.51611328125","0.51611328125"
"947","0.5126953125","0.5126953125","0.5126953125"
"964","0.5107421875","0.5107421875","0.5107421875"
"996","0.529296875","0.529296875","0.529296875"
"997","0.5224609375","0.5224609375","0.5224609375"
"1020","0.51171875","0.51171875","0.51171875"
"1049","0.52685546875","0.52685546875","0.52685546875"
"1066","0.531982421875","0.531982421875","0.531982421875"
"1074","0.518310546875","0.518310546875","0.518310546875"
"1112","0.5146484375","0.5146484375","0.5146484375"
"1128","0.513916015625","0.513916015625","0.513916015625"
"1130","0.515869140625","0.515869140625","0.515869140625"
"1136","0.515380859375","0.515380859375","0.515380859375"
"1164","0.52880859375","0.52880859375","0.52880859375"
"1167","0.517822265625","0.517822265625","0.517822265625"
"1216","0.516845703125","0.516845703125","0.516845703125"
"1232","0.547119140625","0.547119140625","0.547119140625"
"1238","0.517822265625","0.517822265625","0.517822265625"
"1252","0.5322265625","0.5322265625","0.5322265625"
"1268","0.529052734375","0.529052734375","0.529052734375"
"1351","0.516357421875","0.516357421875","0.516357421875"
"1366","0.514404296875","0.514404296875","0.514404296875"
"1428","0.5224609375","0.5224609375","0.5224609375"
"1446","0.521728515625","0.521728515625","0.521728515625"
"1447","0.521728515625","0.521728515625","0.521728515625"
"1448","0.5224609375","0.5224609375","0.5224609375"
"1470","0.517578125","0.517578125","0.517578125"
"1501","0.515869140625","0.515869140625","0.515869140625"
"1531","0.520263671875","0.520263671875","0.520263671875"
"1576","0.523681640625","0.523681640625","0.523681640625"
"1598","0.53515625","0.53515625","0.53515625"
"1686","0.531982421875","0.531982421875","0.531982421875"
"1718","0.53662109375","0.53662109375","0.53662109375"
"1741","0.537109375","0.537109375","0.537109375"
"1760","0.52392578125","0.52392578125","0.52392578125"
"1773","0.541259765625","0.541259765625","0.541259765625"
"1782","0.541259765625","0.541259765625","0.541259765625"
"1792","0.520751953125","0.520751953125","0.520751953125"
"1821","0.53076171875","0.53076171875","0.53076171875"
"1832","0.533935546875","0.533935546875","0.533935546875"
"1833","0.538330078125","0.538330078125","0.538330078125"
"1933","0.537841796875","0.537841796875","0.537841796875"
"1944","0.537109375","0.537109375","0.537109375"
"1985","0.548583984375","0.548583984375","0.548583984375"
"2014","0.531982421875","0.531982421875","0.531982421875"
"2028","0.5498046875","0.5498046875","0.5498046875"
"2034","0.531982421875","0.531982421875","0.531982421875"
"2049","0.537109375","0.537109375","0.537109375"
"2105","0.5380859375","0.5380859375","0.5380859375"
"2152","0.517333984375","0.517333984375","0.517333984375"
"2187","0.532958984375","0.532958984375","0.532958984375"
"2189","0.53125","0.53125","0.53125"
"2283","0.5263671875","0.5263671875","0.5263671875"
"2295","0.536865234375","0.536865234375","0.536865234375"
"2302","0.535400390625","0.535400390625","0.535400390625"
