"Step","State: finished - Train/Losses","State: finished - Train/Losses__MIN","State: finished - Train/Losses__MAX"
"72","0.6942750215530396","0.6942750215530396","0.6942750215530396"
"118","0.6931553483009338","0.6931553483009338","0.6931553483009338"
"150","0.6929731369018555","0.6929731369018555","0.6929731369018555"
"153","0.6932688355445862","0.6932688355445862","0.6932688355445862"
"163","0.6932677030563354","0.6932677030563354","0.6932677030563354"
"184","0.6924436092376709","0.6924436092376709","0.6924436092376709"
"258","0.6928560733795166","0.6928560733795166","0.6928560733795166"
"265","0.69288569688797","0.69288569688797","0.69288569688797"
"277","0.6925318241119385","0.6925318241119385","0.6925318241119385"
"280","0.6923320889472961","0.6923320889472961","0.6923320889472961"
"300","0.6923927664756775","0.6923927664756775","0.6923927664756775"
"304","0.6919190883636475","0.6919190883636475","0.6919190883636475"
"317","0.6921825408935547","0.6921825408935547","0.6921825408935547"
"336","0.6909999847412109","0.6909999847412109","0.6909999847412109"
"388","0.6882747411727905","0.6882747411727905","0.6882747411727905"
"429","0.6857622861862183","0.6857622861862183","0.6857622861862183"
"476","0.6844766736030579","0.6844766736030579","0.6844766736030579"
"514","0.683242917060852","0.683242917060852","0.683242917060852"
"533","0.6839382648468018","0.6839382648468018","0.6839382648468018"
"612","0.6813020706176758","0.6813020706176758","0.6813020706176758"
"651","0.6809170246124268","0.6809170246124268","0.6809170246124268"
"751","0.6763486862182617","0.6763486862182617","0.6763486862182617"
"762","0.676112711429596","0.676112711429596","0.676112711429596"
"788","0.6753078699111938","0.6753078699111938","0.6753078699111938"
"806","0.675203800201416","0.675203800201416","0.675203800201416"
"921","0.6729956865310669","0.6729956865310669","0.6729956865310669"
"947","0.6730523109436035","0.6730523109436035","0.6730523109436035"
"964","0.6729194521903992","0.6729194521903992","0.6729194521903992"
"996","0.6722437739372253","0.6722437739372253","0.6722437739372253"
"997","0.672199010848999","0.672199010848999","0.672199010848999"
"1020","0.6726460456848145","0.6726460456848145","0.6726460456848145"
"1049","0.6713544130325317","0.6713544130325317","0.6713544130325317"
"1066","0.6717169284820557","0.6717169284820557","0.6717169284820557"
"1074","0.6718258857727051","0.6718258857727051","0.6718258857727051"
"1112","0.6728145480155945","0.6728145480155945","0.6728145480155945"
"1128","0.6722850799560547","0.6722850799560547","0.6722850799560547"
"1130","0.6723959445953369","0.6723959445953369","0.6723959445953369"
"1136","0.6715042591094971","0.6715042591094971","0.6715042591094971"
"1164","0.6708600521087646","0.6708600521087646","0.6708600521087646"
"1167","0.6715933680534363","0.6715933680534363","0.6715933680534363"
"1216","0.6704393029212952","0.6704393029212952","0.6704393029212952"
"1232","0.6687043905258179","0.6687043905258179","0.6687043905258179"
"1238","0.6704449653625488","0.6704449653625488","0.6704449653625488"
"1252","0.6699180603027344","0.6699180603027344","0.6699180603027344"
"1268","0.6694838404655457","0.6694838404655457","0.6694838404655457"
"1351","0.668147087097168","0.668147087097168","0.668147087097168"
"1366","0.6670251488685608","0.6670251488685608","0.6670251488685608"
"1428","0.6660414338111877","0.6660414338111877","0.6660414338111877"
"1446","0.6649670600891113","0.6649670600891113","0.6649670600891113"
"1447","0.6649128794670105","0.6649128794670105","0.6649128794670105"
"1448","0.665416955947876","0.665416955947876","0.665416955947876"
"1470","0.6658124923706055","0.6658124923706055","0.6658124923706055"
"1501","0.6656832098960876","0.6656832098960876","0.6656832098960876"
"1531","0.6652587652206421","0.6652587652206421","0.6652587652206421"
"1576","0.6634983420372009","0.6634983420372009","0.6634983420372009"
"1598","0.6622856259346008","0.6622856259346008","0.6622856259346008"
"1686","0.6619939208030701","0.6619939208030701","0.6619939208030701"
"1718","0.6613198518753052","0.6613198518753052","0.6613198518753052"
"1741","0.662138044834137","0.662138044834137","0.662138044834137"
"1760","0.6622248888015747","0.6622248888015747","0.6622248888015747"
"1773","0.6603931188583374","0.6603931188583374","0.6603931188583374"
"1782","0.6612324118614197","0.6612324118614197","0.6612324118614197"
"1792","0.6619380712509155","0.6619380712509155","0.6619380712509155"
"1821","0.6616262197494507","0.6616262197494507","0.6616262197494507"
"1832","0.6612505912780762","0.6612505912780762","0.6612505912780762"
"1833","0.6607954502105713","0.6607954502105713","0.6607954502105713"
"1933","0.6603088974952698","0.6603088974952698","0.6603088974952698"
"1944","0.6597621440887451","0.6597621440887451","0.6597621440887451"
"1985","0.6589332818984985","0.6589332818984985","0.6589332818984985"
"2014","0.6588090658187866","0.6588090658187866","0.6588090658187866"
"2028","0.6576288938522339","0.6576288938522339","0.6576288938522339"
"2034","0.6580580472946167","0.6580580472946167","0.6580580472946167"
"2049","0.6577281951904297","0.6577281951904297","0.6577281951904297"
"2105","0.6562662124633789","0.6562662124633789","0.6562662124633789"
"2152","0.6589677333831787","0.6589677333831787","0.6589677333831787"
"2187","0.6563135385513306","0.6563135385513306","0.6563135385513306"
"2189","0.6570330262184143","0.6570330262184143","0.6570330262184143"
"2283","0.6565985083580017","0.6565985083580017","0.6565985083580017"
"2295","0.6540442705154419","0.6540442705154419","0.6540442705154419"
"2302","0.6555158495903015","0.6555158495903015","0.6555158495903015"
"2352","0.6543146967887878","0.6543146967887878","0.6543146967887878"
"2378","0.6557455658912659","0.6557455658912659","0.6557455658912659"
"2419","0.6558431386947632","0.6558431386947632","0.6558431386947632"
"2422","0.6535586714744568","0.6535586714744568","0.6535586714744568"
"2428","0.6530638933181763","0.6530638933181763","0.6530638933181763"
"2533","0.6520488858222961","0.6520488858222961","0.6520488858222961"
"2542","0.6518983244895935","0.6518983244895935","0.6518983244895935"
"2549","0.653776228427887","0.653776228427887","0.653776228427887"
"2563","0.6532357335090637","0.6532357335090637","0.6532357335090637"
"2590","0.6503719091415405","0.6503719091415405","0.6503719091415405"
"2624","0.6527131199836731","0.6527131199836731","0.6527131199836731"
"2662","0.6522499322891235","0.6522499322891235","0.6522499322891235"
"2672","0.6526281833648682","0.6526281833648682","0.6526281833648682"
"2707","0.6508151292800903","0.6508151292800903","0.6508151292800903"
"2732","0.6524966955184937","0.6524966955184937","0.6524966955184937"
"2752","0.6505216360092163","0.6505216360092163","0.6505216360092163"
"2815","0.6508350372314453","0.6508350372314453","0.6508350372314453"
"2821","0.6505680680274963","0.6505680680274963","0.6505680680274963"
"2874","0.6516517400741577","0.6516517400741577","0.6516517400741577"
"2911","0.65151447057724","0.65151447057724","0.65151447057724"
"2958","0.6510223150253296","0.6510223150253296","0.6510223150253296"
"2975","0.6482619047164917","0.6482619047164917","0.6482619047164917"
"3068","0.6474109888076782","0.6474109888076782","0.6474109888076782"
"3073","0.6492981314659119","0.6492981314659119","0.6492981314659119"
