"Step","postactivation_production: kan - Train/Losses_every_step","postactivation_production: kan - Train/Losses_every_step__MIN","postactivation_production: kan - Train/Losses_every_step__MAX","postactivation_production: mlp - Train/Losses_every_step","postactivation_production: mlp - Train/Losses_every_step__MIN","postactivation_production: mlp - Train/Losses_every_step__MAX"
"0","0.693250298500061","0.6928666830062866","0.6936455965042114","0.6931068897247314","0.6930290460586548","0.6931514739990234"
"21","0.6933359801769257","0.6930714845657349","0.6935476660728455","0.6930613319079081","0.692961573600769","0.6931504011154175"
"48","0.6934442967176437","0.6932817697525024","0.6937415599822998","0.692767858505249","0.6926872134208679","0.6928629875183105"
"59","0.6933521628379822","0.6929957866668701","0.6936588883399963","0.6928593913714091","0.6922854781150818","0.693248987197876"
"72","0.6932989060878754","0.6928274035453796","0.6937941312789917","0.692838728427887","0.692473292350769","0.6933590173721313"
"118","0.6932633519172668","0.6929334402084351","0.6935179829597473","0.6925755143165588","0.6914932727813721","0.6935192942619324"
"148","0.6929306089878082","0.6926923394203186","0.6932889223098755","0.6924848357836405","0.6920061707496643","0.6929486989974976"
"150","0.6932918727397919","0.6930995583534241","0.6935654878616333","0.6924830873807272","0.6920849084854126","0.6929664015769958"
"153","0.6933212131261826","0.6932821273803711","0.6934225559234619","0.6922779281934103","0.6916205883026123","0.6928263306617737"
"154","0.6932598203420639","0.6930611729621887","0.6934566497802734","0.6925802230834961","0.6924492120742798","0.69266676902771"
"163","0.6931813061237335","0.6929826140403748","0.6932999491691589","0.692711611588796","0.6919456720352173","0.6934276223182678"
"184","0.693003237247467","0.6925709843635559","0.6933833360671997","0.6918720404307047","0.6915415525436401","0.6922428607940674"
"224","0.6926137357950211","0.6923037767410278","0.6930414438247681","0.6918346881866455","0.6908876895904541","0.6923753023147583"
"249","0.6929112374782562","0.6923332214355469","0.6938382387161255","0.692196806271871","0.6921074390411377","0.6923185586929321"
"258","0.6927574723958969","0.6926171779632568","0.6929300427436829","0.6922200322151184","0.6917057037353516","0.6927124261856079"
"265","0.6924607306718826","0.6918474435806274","0.6930773854255676","0.6921420693397522","0.6919605135917664","0.6924787163734436"
"277","0.6922085583209991","0.6915419697761536","0.6925898790359497","0.6917007565498352","0.6913365125656128","0.6919870972633362"
"280","0.6921945959329605","0.691717267036438","0.6927945613861084","0.6915923754374186","0.6908662915229797","0.6921138763427734"
"291","0.6924055814743042","0.6917587518692017","0.6930204629898071","0.6912471453348795","0.6907463073730469","0.6920152306556702"
"300","0.6923957765102386","0.6922701597213745","0.6925190687179565","0.6916093031565348","0.6910488605499268","0.692049503326416"
"304","0.6928731799125671","0.6926432847976685","0.6931267976760864","0.6916821400324503","0.6913067102432251","0.6921950578689575"
"317","0.6929956525564194","0.692259669303894","0.6932932138442993","0.6917584538459778","0.6914701461791992","0.6920290589332581"
"336","0.6926093697547913","0.6923877000808716","0.6931114196777344","0.6918719410896301","0.6911264657974243","0.69320148229599"
"352","0.6924186944961548","0.6922714114189148","0.6925983428955078","0.6912952462832133","0.6908854246139526","0.6920474767684937"
"367","0.6926117241382599","0.6922940015792847","0.6933033466339111","0.6923709710439047","0.6920585632324219","0.6928743124008179"
"388","0.6922988146543503","0.6919388771057129","0.6930086612701416","0.6918088595072428","0.6915996074676514","0.691953182220459"
"404","0.6924347877502441","0.6919829845428467","0.6928026676177979","0.6928590933481852","0.6926881670951843","0.6930714249610901"
"424","0.6923753470182419","0.6918998956680298","0.6927286982536316","0.6912234624226888","0.6902768611907959","0.6923562288284302"
"429","0.6923989951610565","0.6921368837356567","0.6927869319915771","0.6918431917826334","0.6915761232376099","0.6923357248306274"
"434","0.6925228834152222","0.6920978426933289","0.6927618980407715","0.6925896803538004","0.6924394369125366","0.6927782893180847"
"464","0.6924123913049698","0.6922392845153809","0.6926248669624329","0.6922428210576376","0.6912413239479065","0.6933134198188782"
"476","0.692283570766449","0.6913816332817078","0.6929651498794556","0.6913900772730509","0.6907299757003784","0.6919993758201599"
"514","0.6925085484981537","0.6921690702438354","0.6928813457489014","0.6914684176445007","0.6910671591758728","0.6921559572219849"
"518","0.6920842379331589","0.6916234493255615","0.6925327777862549","0.6913941303888956","0.6905081868171692","0.692093551158905"
"533","0.6923792660236359","0.6918370723724365","0.6932916641235352","0.6911015709241232","0.6899059414863586","0.6925956010818481"
"548","0.6921446323394775","0.69179368019104","0.6926957368850708","0.6916953325271606","0.6910519599914551","0.6927844285964966"
"577","0.6925802975893021","0.6923775672912598","0.6927650570869446","0.6903415520985922","0.6893895864486694","0.6908793449401855"
"585","0.6924920678138733","0.6920971274375916","0.6934145092964172","0.6910358270009359","0.6900986433029175","0.691714882850647"
"612","0.6921255439519882","0.6919496059417725","0.692357063293457","0.6905838052431742","0.6891111135482788","0.6920108199119568"
"645","0.6925513446331024","0.6922211647033691","0.6932742595672607","0.6906291047732035","0.6896232962608337","0.6914864182472229"
"651","0.692206397652626","0.6917041540145874","0.6924766898155212","0.6908226807912191","0.6895499229431152","0.6915335655212402"
"662","0.6923649460077286","0.6920374631881714","0.69266676902771","0.6903582612673441","0.6897017955780029","0.6906991600990295"
"675","0.6922303736209869","0.6918195486068726","0.6928035616874695","0.6908058126767477","0.6903184056282043","0.6912020444869995"
"685","0.6923555880784988","0.691695511341095","0.692816436290741","0.6911179423332214","0.6906538009643555","0.6914780735969543"
"702","0.6918802112340927","0.6914891600608826","0.6923268437385559","0.6901320020357767","0.6890767812728882","0.6906654834747314"
"751","0.6922581940889359","0.6917882561683655","0.6928560733795166","0.6898018916447958","0.6893567442893982","0.6904458403587341"
"754","0.6924276053905487","0.6920093297958374","0.6928235292434692","0.6898452440897623","0.6883378028869629","0.6907573938369751"
"762","0.692187562584877","0.6917304992675781","0.6924645900726318","0.6901600360870361","0.6876958608627319","0.6920796632766724"
"788","0.6921911984682083","0.6916890144348145","0.6924601197242737","0.6854676604270935","0.6816467046737671","0.6922504901885986"
"801","0.6921423971652985","0.6919604539871216","0.692338228225708","0.6835290789604187","0.6772589087486267","0.6905725002288818"
"806","0.6923102587461472","0.6919863224029541","0.692450761795044","0.682904839515686","0.6759219169616699","0.6911649703979492"
"812","0.6919154524803162","0.6914331912994385","0.6922832727432251","0.6817871729532877","0.6767323017120361","0.689586877822876"
