"Step","postactivation_production: kan - Train/Accuracies_every_step","postactivation_production: kan - Train/Accuracies_every_step__MIN","postactivation_production: kan - Train/Accuracies_every_step__MAX","postactivation_production: mlp - Train/Accuracies_every_step","postactivation_production: mlp - Train/Accuracies_every_step__MIN","postactivation_production: mlp - Train/Accuracies_every_step__MAX"
"0","0.50347900390625","0.492431640625","0.510009765625","0.509765625","0.508056640625","0.51123046875"
"21","0.49676513671875","0.48828125","0.51025390625","0.4996337890625","0.4931640625","0.505126953125"
"48","0.508544921875","0.499267578125","0.521240234375","0.49432373046875","0.49169921875","0.498046875"
"59","0.49578857421875","0.482177734375","0.5068359375","0.5","0.496337890625","0.50341796875"
"72","0.50177001953125","0.48974609375","0.511962890625","0.49578857421875","0.48486328125","0.505126953125"
"118","0.5010986328125","0.488037109375","0.509033203125","0.50274658203125","0.489990234375","0.519287109375"
"148","0.5059814453125","0.49951171875","0.510986328125","0.4998779296875","0.495849609375","0.50537109375"
"150","0.49462890625","0.487548828125","0.501708984375","0.499755859375","0.4951171875","0.505126953125"
"153","0.50189208984375","0.493408203125","0.50537109375","0.50494384765625","0.49755859375","0.51025390625"
"154","0.498046875","0.4794921875","0.512451171875","0.50335693359375","0.49658203125","0.50927734375"
"163","0.49951171875","0.49267578125","0.515625","0.49688720703125","0.489013671875","0.51123046875"
"184","0.4945068359375","0.4833984375","0.514404296875","0.50634765625","0.5029296875","0.509765625"
"224","0.5009765625","0.49462890625","0.50634765625","0.50347900390625","0.491455078125","0.515380859375"
"249","0.5001220703125","0.49609375","0.503173828125","0.49176025390625","0.483154296875","0.495849609375"
"258","0.497314453125","0.491943359375","0.499755859375","0.49481201171875","0.489501953125","0.5078125"
"265","0.501953125","0.49365234375","0.50732421875","0.49932861328125","0.494140625","0.50439453125"
"277","0.506591796875","0.503662109375","0.514404296875","0.49951171875","0.494140625","0.507568359375"
"280","0.5030517578125","0.492919921875","0.51220703125","0.5028076171875","0.497802734375","0.510986328125"
"291","0.50250244140625","0.490478515625","0.5078125","0.50054931640625","0.490966796875","0.509033203125"
"300","0.5057373046875","0.495361328125","0.516845703125","0.5001220703125","0.4912109375","0.505859375"
"304","0.49468994140625","0.48779296875","0.498779296875","0.505126953125","0.4912109375","0.515380859375"
"317","0.48956298828125","0.4833984375","0.5048828125","0.5006103515625","0.495361328125","0.509521484375"
"336","0.49774169921875","0.489990234375","0.50244140625","0.4918212890625","0.4853515625","0.50048828125"
"352","0.50201416015625","0.498046875","0.506591796875","0.50274658203125","0.48876953125","0.51611328125"
"367","0.49566650390625","0.487060546875","0.50732421875","0.49981689453125","0.48974609375","0.510986328125"
"388","0.50177001953125","0.488037109375","0.5107421875","0.5","0.494140625","0.5068359375"
"404","0.4993896484375","0.495849609375","0.5048828125","0.49395751953125","0.485595703125","0.503173828125"
"424","0.5042724609375","0.494384765625","0.511962890625","0.5006103515625","0.49462890625","0.504150390625"
"429","0.49737548828125","0.493896484375","0.50048828125","0.4952392578125","0.482666015625","0.5029296875"
"434","0.49951171875","0.49267578125","0.5068359375","0.50048828125","0.484130859375","0.510986328125"
"464","0.50244140625","0.495361328125","0.50634765625","0.4998779296875","0.486083984375","0.508056640625"
"476","0.49609375","0.481201171875","0.509765625","0.5001220703125","0.49169921875","0.50439453125"
"514","0.49798583984375","0.488525390625","0.507080078125","0.5087890625","0.501708984375","0.519287109375"
"518","0.501708984375","0.496826171875","0.50537109375","0.502197265625","0.496337890625","0.511474609375"
"533","0.501220703125","0.49267578125","0.511474609375","0.5113525390625","0.5","0.521484375"
"548","0.5035400390625","0.50146484375","0.50537109375","0.4947509765625","0.491455078125","0.502197265625"
"577","0.500244140625","0.491455078125","0.507568359375","0.5059814453125","0.4970703125","0.52001953125"
"585","0.5025634765625","0.48583984375","0.511962890625","0.49676513671875","0.49365234375","0.502685546875"
"612","0.5035400390625","0.496826171875","0.510009765625","0.50494384765625","0.488525390625","0.51953125"
"645","0.498291015625","0.480224609375","0.51025390625","0.5010986328125","0.494140625","0.5126953125"
"651","0.50091552734375","0.489990234375","0.511962890625","0.50726318359375","0.489501953125","0.518310546875"
"662","0.50579833984375","0.503173828125","0.510009765625","0.494873046875","0.488037109375","0.5"
"675","0.50201416015625","0.494873046875","0.508056640625","0.498046875","0.48974609375","0.510009765625"
"685","0.49957275390625","0.485107421875","0.511474609375","0.49371337890625","0.490966796875","0.49609375"
"702","0.5020751953125","0.4921875","0.518798828125","0.50238037109375","0.48876953125","0.5146484375"
"751","0.49456787109375","0.485595703125","0.50048828125","0.49249267578125","0.481689453125","0.504638671875"
"754","0.49493408203125","0.492431640625","0.49853515625","0.49920654296875","0.48828125","0.511962890625"
"762","0.5006103515625","0.49462890625","0.5078125","0.49688720703125","0.487548828125","0.504150390625"
"788","0.49920654296875","0.4931640625","0.502685546875","0.50714111328125","0.498291015625","0.512451171875"
"801","0.50048828125","0.493408203125","0.50634765625","0.5087890625","0.49658203125","0.51708984375"
"806","0.4920654296875","0.48828125","0.497802734375","0.51318359375","0.499267578125","0.5380859375"
"812","0.50408935546875","0.49951171875","0.50830078125","0.51446533203125","0.502685546875","0.5244140625"
"839","0.4974365234375","0.491455078125","0.502685546875","0.50439453125","0.491943359375","0.5166015625"
"881","0.4984130859375","0.491455078125","0.509033203125","0.510498046875","0.50146484375","0.51416015625"
"884","0.49578857421875","0.489013671875","0.50537109375","0.51025390625","0.494140625","0.521728515625"
"913","0.50360107421875","0.49365234375","0.510986328125","0.51104736328125","0.489501953125","0.518310546875"
"921","0.4993896484375","0.487060546875","0.504638671875","0.50128173828125","0.481201171875","0.513427734375"
"947","0.50799560546875","0.49658203125","0.518798828125","0.5010986328125","0.491943359375","0.51123046875"
"961","0.49798583984375","0.486328125","0.5048828125","0.51141357421875","0.501220703125","0.520263671875"
"962","0.49871826171875","0.49365234375","0.50537109375","0.51019287109375","0.498291015625","0.5224609375"
