"Step","postactivation_production: kan - Train/Losses_every_step","postactivation_production: kan - Train/Losses_every_step__MIN","postactivation_production: kan - Train/Losses_every_step__MAX","postactivation_production: mlp - Train/Losses_every_step","postactivation_production: mlp - Train/Losses_every_step__MIN","postactivation_production: mlp - Train/Losses_every_step__MAX"
"0","0.6932552605867386","0.6928666830062866","0.6936455965042114","0.6929996013641357","0.6927062273025513","0.6931401491165161"
"21","0.6933915168046951","0.6930714845657349","0.6935683488845825","0.6931207478046417","0.692961573600769","0.6932881474494934"
"48","0.6931356638669968","0.6925070285797119","0.6933994889259338","0.6928430199623108","0.6926872134208679","0.6931613683700562"
"59","0.6933879852294922","0.6929957866668701","0.6936588883399963","0.6930586099624634","0.6928281784057617","0.693248987197876"
"72","0.6932235211133957","0.6928274035453796","0.693492591381073","0.6926967054605484","0.6916189193725586","0.6933590173721313"
"118","0.6932389885187149","0.6929334402084351","0.6935179829597473","0.6925756484270096","0.6914932727813721","0.6935192942619324"
"148","0.6929207742214203","0.6926923394203186","0.6932495832443237","0.6925380676984787","0.6920061707496643","0.693135142326355"
"150","0.6933725029230118","0.6930995583534241","0.6935654878616333","0.6925966441631317","0.6923272013664246","0.6929664015769958"
"153","0.6932858824729919","0.6932812333106995","0.6932958960533142","0.6922820955514908","0.6916205883026123","0.6928263306617737"
"154","0.6932274401187897","0.6929316520690918","0.6934566497802734","0.6924131661653519","0.6921238899230957","0.6926246881484985"
"163","0.6931207329034805","0.6927403211593628","0.6932999491691589","0.6929833889007568","0.6919456720352173","0.6934276223182678"
"184","0.6929593235254288","0.6923953294754028","0.6933833360671997","0.6921771019697189","0.6918317079544067","0.6924681067466736"
"224","0.6925708502531052","0.6923037767410278","0.6928699016571045","0.6921785324811935","0.6914966702461243","0.6926010847091675"
"249","0.6924591958522797","0.6920300722122192","0.6929600834846497","0.6925124675035477","0.6921074390411377","0.6930859088897705"
"258","0.6927669048309326","0.6926171779632568","0.6929300427436829","0.6924056261777878","0.6917057037353516","0.6927124261856079"
"265","0.6923796683549881","0.6918474435806274","0.6930773854255676","0.6922300308942795","0.6919869780540466","0.6924787163734436"
"277","0.69224613904953","0.6915419697761536","0.6927402019500732","0.6920225918292999","0.6913365125656128","0.6929028034210205"
"280","0.6924581378698349","0.6919944882392883","0.6927945613861084","0.6914899498224258","0.6908662915229797","0.6918042898178101"
"291","0.6924892961978912","0.6920936107635498","0.6930204629898071","0.6915759444236755","0.6907463073730469","0.6923907995223999"
"300","0.692248597741127","0.69193035364151","0.6925069093704224","0.6916885524988174","0.6910488605499268","0.692082941532135"
"304","0.6928309500217438","0.692474365234375","0.6931267976760864","0.6917363703250885","0.691238284111023","0.6921950578689575"
"317","0.6930258572101593","0.692259669303894","0.693413496017456","0.6917590498924255","0.6914701461791992","0.6920290589332581"
"336","0.6926350593566895","0.6924561262130737","0.6931114196777344","0.6921002417802811","0.6912878751754761","0.69320148229599"
"352","0.6923050433397293","0.691982626914978","0.6925983428955078","0.6914473623037338","0.6908854246139526","0.692205548286438"
"367","0.6924365758895874","0.6922940015792847","0.6926027536392212","0.6920874565839767","0.6916601061820984","0.6924511194229126"
"388","0.6923865228891373","0.6921218633651733","0.6930086612701416","0.6919709146022797","0.6915996074676514","0.692562460899353"
"404","0.6924232542514801","0.6919368505477905","0.6928026676177979","0.6921927779912949","0.6913453340530396","0.6928176879882812"
"424","0.6921643018722534","0.6918845176696777","0.6926558017730713","0.6916170865297318","0.6910372972488403","0.6923562288284302"
"429","0.6925356239080429","0.6921368837356567","0.6929283738136292","0.6918694078922272","0.6915647387504578","0.6923357248306274"
"434","0.692485049366951","0.6920978426933289","0.6927618980407715","0.6919735223054886","0.6913149356842041","0.69255131483078"
"464","0.6924568712711334","0.6922392845153809","0.6928027868270874","0.6915235966444016","0.6909611821174622","0.6921737194061279"
"476","0.6925694942474365","0.6922273635864258","0.6929651498794556","0.691263422369957","0.6907299757003784","0.6919271945953369"
"514","0.6923738121986389","0.6921563148498535","0.6928813457489014","0.6908436417579651","0.6904459595680237","0.6911821365356445"
"518","0.6921191364526749","0.6916234493255615","0.6926723718643188","0.6910916119813919","0.6905081868171692","0.6915806531906128"
"533","0.6923287510871887","0.6918370723724365","0.6932916641235352","0.6908793896436691","0.6899059414863586","0.6917922496795654"
"548","0.6920462548732758","0.69179368019104","0.6923022270202637","0.6919578313827515","0.6910519599914551","0.6927844285964966"
"577","0.692455604672432","0.6920709609985352","0.6927650570869446","0.6906682252883911","0.6893895864486694","0.6913028955459595"
"585","0.6924668550491333","0.6920971274375916","0.6934145092964172","0.6916865855455399","0.6912939548492432","0.6923583149909973"
"612","0.6921870559453964","0.6919496059417725","0.692357063293457","0.6909535676240921","0.6891111135482788","0.6920108199119568"
"645","0.6924856901168823","0.6920373439788818","0.6932742595672607","0.6910175085067749","0.6896232962608337","0.6920843124389648"
"651","0.6921661645174026","0.6917041540145874","0.6924766898155212","0.6903013736009598","0.689528226852417","0.6913845539093018"
"662","0.692285031080246","0.6920374631881714","0.6925092339515686","0.6907754987478256","0.6897017955780029","0.691581666469574"
"675","0.6923381090164185","0.6918195486068726","0.6928035616874695","0.6908266693353653","0.6903184056282043","0.691673755645752"
"685","0.6922502666711807","0.691695511341095","0.692816436290741","0.6911806911230087","0.6909340620040894","0.6914780735969543"
"702","0.6921275854110718","0.6914891600608826","0.692637026309967","0.6907257586717606","0.6890767812728882","0.6916232109069824"
"751","0.6924225687980652","0.6919888257980347","0.6928560733795166","0.6904818117618561","0.6893567442893982","0.691676676273346"
"754","0.6924992799758911","0.6920093297958374","0.6928235292434692","0.6902651339769363","0.6883378028869629","0.6912879347801208"
