"Step","skilled-sweep-3 - Train/Accuracies","skilled-sweep-3 - Train/Accuracies__MIN","skilled-sweep-3 - Train/Accuracies__MAX","playful-sweep-2 - Train/Accuracies","playful-sweep-2 - Train/Accuracies__MIN","playful-sweep-2 - Train/Accuracies__MAX","prime-sweep-1 - Train/Accuracies","prime-sweep-1 - Train/Accuracies__MIN","prime-sweep-1 - Train/Accuracies__MAX"
"48","0.502685546875","0.502685546875","0.502685546875","0.499755859375","0.499755859375","0.499755859375","0.50146484375","0.50146484375","0.50146484375"
"59","0.492919921875","0.492919921875","0.492919921875","0.4912109375","0.4912109375","0.4912109375","0.4931640625","0.4931640625","0.4931640625"
"72","0.491455078125","0.491455078125","0.491455078125","0.490234375","0.490234375","0.490234375","0.4892578125","0.4892578125","0.4892578125"
"118","0.5107421875","0.5107421875","0.5107421875","0.506591796875","0.506591796875","0.506591796875","0.50927734375","0.50927734375","0.50927734375"
"148","0.50927734375","0.50927734375","0.50927734375","0.4951171875","0.4951171875","0.4951171875","0.50390625","0.50390625","0.50390625"
"150","0.510986328125","0.510986328125","0.510986328125","0.515869140625","0.515869140625","0.515869140625","0.5087890625","0.5087890625","0.5087890625"
"153","0.512451171875","0.512451171875","0.512451171875","0.50732421875","0.50732421875","0.50732421875","0.509033203125","0.509033203125","0.509033203125"
"154","0.5009765625","0.5009765625","0.5009765625","0.5078125","0.5078125","0.5078125","0.50244140625","0.50244140625","0.50244140625"
"163","0.513427734375","0.513427734375","0.513427734375","0.501953125","0.501953125","0.501953125","0.509521484375","0.509521484375","0.509521484375"
"184","0.5185546875","0.5185546875","0.5185546875","0.517333984375","0.517333984375","0.517333984375","0.52392578125","0.52392578125","0.52392578125"
"224","0.502197265625","0.502197265625","0.502197265625","0.500244140625","0.500244140625","0.500244140625","0.50244140625","0.50244140625","0.50244140625"
"249","0.5068359375","0.5068359375","0.5068359375","0.5068359375","0.5068359375","0.5068359375","0.50927734375","0.50927734375","0.50927734375"
"258","0.50634765625","0.50634765625","0.50634765625","0.503662109375","0.503662109375","0.503662109375","0.5029296875","0.5029296875","0.5029296875"
"265","0.496826171875","0.496826171875","0.496826171875","0.4990234375","0.4990234375","0.4990234375","0.49658203125","0.49658203125","0.49658203125"
"277","0.504638671875","0.504638671875","0.504638671875","0.502685546875","0.502685546875","0.502685546875","0.502685546875","0.502685546875","0.502685546875"
"280","0.515869140625","0.515869140625","0.515869140625","0.515380859375","0.515380859375","0.515380859375","0.51171875","0.51171875","0.51171875"
"291","0.50439453125","0.50439453125","0.50439453125","0.506591796875","0.506591796875","0.506591796875","0.504150390625","0.504150390625","0.504150390625"
"300","0.503173828125","0.503173828125","0.503173828125","0.497802734375","0.497802734375","0.497802734375","0.499755859375","0.499755859375","0.499755859375"
"304","0.501953125","0.501953125","0.501953125","0.502685546875","0.502685546875","0.502685546875","0.5","0.5","0.5"
"317","0.499755859375","0.499755859375","0.499755859375","0.497802734375","0.497802734375","0.497802734375","0.4892578125","0.4892578125","0.4892578125"
"336","0.5166015625","0.5166015625","0.5166015625","0.513916015625","0.513916015625","0.513916015625","0.51708984375","0.51708984375","0.51708984375"
