"Step","sunny-sweep-5 - Train/Losses","sunny-sweep-5 - Train/Losses__MIN","sunny-sweep-5 - Train/Losses__MAX","sunny-sweep-4 - Train/Losses","sunny-sweep-4 - Train/Losses__MIN","sunny-sweep-4 - Train/Losses__MAX","morning-sweep-3 - Train/Losses","morning-sweep-3 - Train/Losses__MIN","morning-sweep-3 - Train/Losses__MAX"
"21000","1.3693004903339205","1.3693004903339205","1.3693004903339205","1.3446018184934343","1.3446018184934343","1.3446018184934343","1.3478709005174183","1.3478709005174183","1.3478709005174183"
"22000","1.3227980136871338","1.3227980136871338","1.3227980136871338","1.2989981060936338","1.2989981060936338","1.2989981060936338","1.353482723236084","1.353482723236084","1.353482723236084"
"23000","1.3090632586252122","1.3090632586252122","1.3090632586252122","1.3703707229523432","1.3703707229523432","1.3703707229523432","1.3437227464857555","1.3437227464857555","1.3437227464857555"
"24000","1.3227768284933907","1.3227768284933907","1.3227768284933907","1.306295116742452","1.306295116742452","1.306295116742452","1.3357630854561215","1.3357630854561215","1.3357630854561215"
"25000","1.3735221056711107","1.3735221056711107","1.3735221056711107","1.3184859866187686","1.3184859866187686","1.3184859866187686","1.3094807409104847","1.3094807409104847","1.3094807409104847"
"26000","1.2818804468427385","1.2818804468427385","1.2818804468427385","1.3219935212816512","1.3219935212816512","1.3219935212816512","1.2930543082101005","1.2930543082101005","1.2930543082101005"
"27000","1.2990925709406536","1.2990925709406536","1.2990925709406536","1.2970231941768102","1.2970231941768102","1.2970231941768102","1.3059371198926653","1.3059371198926653","1.3059371198926653"
"28000","1.3160716408774966","1.3160716408774966","1.3160716408774966","1.313453855968657","1.313453855968657","1.313453855968657","1.2902459757668632","1.2902459757668632","1.2902459757668632"
"29000","1.3418658460889543","1.3418658460889543","1.3418658460889543","1.32185697555542","1.32185697555542","1.32185697555542","1.3257151728584653","1.3257151728584653","1.3257151728584653"
"30000","1.3186315922510057","1.3186315922510057","1.3186315922510057","1.3079983109519595","1.3079983109519595","1.3079983109519595","1.3050414380573092","1.3050414380573092","1.3050414380573092"
"31000","1.2996960764839536","1.2996960764839536","1.2996960764839536","1.3435008525848389","1.3435008525848389","1.3435008525848389","1.2815017586662656","1.2815017586662656","1.2815017586662656"
"32000","1.2801807040259952","1.2801807040259952","1.2801807040259952","1.2843224094027565","1.2843224094027565","1.2843224094027565","1.3252510229746501","1.3252510229746501","1.3252510229746501"
"33000","1.261210458619254","1.261210458619254","1.261210458619254","1.2918128002257574","1.2918128002257574","1.2918128002257574","1.3040687810807001","1.3040687810807001","1.3040687810807001"
"34000","1.3189519132886613","1.3189519132886613","1.3189519132886613","1.3371896062578474","1.3371896062578474","1.3371896062578474","1.3302575065976097","1.3302575065976097","1.3302575065976097"
"35000","1.3150513626280285","1.3150513626280285","1.3150513626280285","1.330768965539478","1.330768965539478","1.330768965539478","1.265625686872573","1.265625686872573","1.265625686872573"
"36000","1.3258970067614602","1.3258970067614602","1.3258970067614602","1.3049191179729642","1.3049191179729642","1.3049191179729642","1.3059165137154716","1.3059165137154716","1.3059165137154716"
"37000","1.3320186138153076","1.3320186138153076","1.3320186138153076","1.2991968790690105","1.2991968790690105","1.2991968790690105","1.2987008208320254","1.2987008208320254","1.2987008208320254"
"38000","1.3036763157163347","1.3036763157163347","1.3036763157163347","1.280203558149792","1.280203558149792","1.280203558149792","1.3129666873386927","1.3129666873386927","1.3129666873386927"
"39000","1.2910109020414806","1.2910109020414806","1.2910109020414806","1.2850329592114402","1.2850329592114402","1.2850329592114402","1.27942308925447","1.27942308925447","1.27942308925447"
"40000","1.3035243125188918","1.3035243125188918","1.3035243125188918","1.26658296585083","1.26658296585083","1.26658296585083","1.311928011122204","1.311928011122204","1.311928011122204"
"41000","1.2999999182564872","1.2999999182564872","1.2999999182564872","1.2684933628354753","1.2684933628354753","1.2684933628354753","1.2877078567232405","1.2877078567232405","1.2877078567232405"
"42000","1.331928287233625","1.331928287233625","1.331928287233625","1.275586207707723","1.275586207707723","1.275586207707723","1.3296931414377122","1.3296931414377122","1.3296931414377122"
"43000","1.3015646423612321","1.3015646423612321","1.3015646423612321","1.2758073806762695","1.2758073806762695","1.2758073806762695","1.30965294724419","1.30965294724419","1.30965294724419"
"44000","1.3022109894525438","1.3022109894525438","1.3022109894525438","1.2732120525269282","1.2732120525269282","1.2732120525269282","1.2928067729586648","1.2928067729586648","1.2928067729586648"
"45000","1.3093578418095906","1.3093578418095906","1.3093578418095906","1.293393611907959","1.293393611907959","1.293393611907959","1.2915056773594447","1.2915056773594447","1.2915056773594447"
"46000","1.3095358326321556","1.3095358326321556","1.3095358326321556","1.2802745387667702","1.2802745387667702","1.2802745387667702","1.320715274129595","1.320715274129595","1.320715274129595"
"47000","1.2919426361719768","1.2919426361719768","1.2919426361719768","1.2971034049987793","1.2971034049987793","1.2971034049987793","1.2631939081918626","1.2631939081918626","1.2631939081918626"
"48000","1.3179740281332106","1.3179740281332106","1.3179740281332106","1.290897772425697","1.290897772425697","1.290897772425697","1.2871142058145433","1.2871142058145433","1.2871142058145433"
"49000","1.3134689331054688","1.3134689331054688","1.3134689331054688","1.2883395751317341","1.2883395751317341","1.2883395751317341","1.2808006661278861","1.2808006661278861","1.2808006661278861"
