"Step","sunny-sweep-4 - Train/Accuracies_most_certrain_per_input","sunny-sweep-4 - Train/Accuracies_most_certrain_per_input__MIN","sunny-sweep-4 - Train/Accuracies_most_certrain_per_input__MAX"
"1000","0.2767857142857143","0.2767857142857143","0.2767857142857143"
"2000","0.27380952380952384","0.27380952380952384","0.27380952380952384"
"3000","0.28125","0.28125","0.28125"
"4000","0.27306547619047616","0.27306547619047616","0.27306547619047616"
"5000","0.29389880952380953","0.29389880952380953","0.29389880952380953"
"6000","0.27306547619047616","0.27306547619047616","0.27306547619047616"
"7000","0.25669642857142855","0.25669642857142855","0.25669642857142855"
"8000","0.27306547619047616","0.27306547619047616","0.27306547619047616"
"9000","0.23735119047619047","0.23735119047619047","0.23735119047619047"
"10000","0.29464285714285715","0.29464285714285715","0.29464285714285715"
"11000","0.2418154761904762","0.2418154761904762","0.2418154761904762"
"12000","0.28125","0.28125","0.28125"
"13000","0.29017857142857145","0.29017857142857145","0.29017857142857145"
"14000","0.27827380952380953","0.27827380952380953","0.27827380952380953"
"15000","0.2663690476190476","0.2663690476190476","0.2663690476190476"
"16000","0.27157738095238093","0.27157738095238093","0.27157738095238093"
"17000","0.31547619047619047","0.31547619047619047","0.31547619047619047"
"18000","0.29092261904761907","0.29092261904761907","0.29092261904761907"
"19000","0.27455357142857145","0.27455357142857145","0.27455357142857145"
"20000","0.3005952380952381","0.3005952380952381","0.3005952380952381"
"21000","0.27232142857142855","0.27232142857142855","0.27232142857142855"
"22000","0.3005952380952381","0.3005952380952381","0.3005952380952381"
"23000","0.26264880952380953","0.26264880952380953","0.26264880952380953"
"24000","0.29985119047619047","0.29985119047619047","0.29985119047619047"
"25000","0.2931547619047619","0.2931547619047619","0.2931547619047619"
"26000","0.2849702380952381","0.2849702380952381","0.2849702380952381"
"27000","0.30580357142857145","0.30580357142857145","0.30580357142857145"
"28000","0.2931547619047619","0.2931547619047619","0.2931547619047619"
"29000","0.29389880952380953","0.29389880952380953","0.29389880952380953"
"30000","0.296875","0.296875","0.296875"
"31000","0.2663690476190476","0.2663690476190476","0.2663690476190476"
"32000","0.3087797619047619","0.3087797619047619","0.3087797619047619"
"33000","0.30654761904761907","0.30654761904761907","0.30654761904761907"
"34000","0.29092261904761907","0.29092261904761907","0.29092261904761907"
"35000","0.28348214285714285","0.28348214285714285","0.28348214285714285"
"36000","0.3020833333333333","0.3020833333333333","0.3020833333333333"
"37000","0.2961309523809524","0.2961309523809524","0.2961309523809524"
"38000","0.3229166666666667","0.3229166666666667","0.3229166666666667"
"39000","0.31845238095238093","0.31845238095238093","0.31845238095238093"
"40000","0.33705357142857145","0.33705357142857145","0.33705357142857145"
"41000","0.3162202380952381","0.3162202380952381","0.3162202380952381"
"42000","0.3162202380952381","0.3162202380952381","0.3162202380952381"
"43000","0.3177083333333333","0.3177083333333333","0.3177083333333333"
"44000","0.3236607142857143","0.3236607142857143","0.3236607142857143"
"45000","0.29985119047619047","0.29985119047619047","0.29985119047619047"
"46000","0.32068452380952384","0.32068452380952384","0.32068452380952384"
"47000","0.30357142857142855","0.30357142857142855","0.30357142857142855"
"48000","0.31398809523809523","0.31398809523809523","0.31398809523809523"
"49000","0.3020833333333333","0.3020833333333333","0.3020833333333333"
