"Step","sunny-sweep-5 - Train/Losses","sunny-sweep-5 - Train/Losses__MIN","sunny-sweep-5 - Train/Losses__MAX"
"1000","1.4890986170087541","1.4890986170087541","1.4890986170087541"
"2000","1.458296571459089","1.458296571459089","1.458296571459089"
"3000","1.4762385118575323","1.4762385118575323","1.4762385118575323"
"4000","1.3949330193655831","1.3949330193655831","1.3949330193655831"
"5000","1.4194284223374867","1.4194284223374867","1.4194284223374867"
"6000","1.409224476133074","1.409224476133074","1.409224476133074"
"7000","1.419481322878883","1.419481322878883","1.419481322878883"
"8000","1.4145691792170207","1.4145691792170207","1.4145691792170207"
"9000","1.411266150928679","1.411266150928679","1.411266150928679"
"10000","1.3432696092696417","1.3432696092696417","1.3432696092696417"
"11000","1.4446556341080439","1.4446556341080439","1.4446556341080439"
"12000","1.3938439460027785","1.3938439460027785","1.3938439460027785"
"13000","1.3806962739853632","1.3806962739853632","1.3806962739853632"
"14000","1.3731079555693126","1.3731079555693126","1.3731079555693126"
"15000","1.3966905275980632","1.3966905275980632","1.3966905275980632"
"16000","1.3684427851722354","1.3684427851722354","1.3684427851722354"
"17000","1.3841304041090465","1.3841304041090465","1.3841304041090465"
"18000","1.3425558691933042","1.3425558691933042","1.3425558691933042"
"19000","1.3306965544110252","1.3306965544110252","1.3306965544110252"
"20000","1.348120683715457","1.348120683715457","1.348120683715457"
"21000","1.3693004903339205","1.3693004903339205","1.3693004903339205"
"22000","1.3227980136871338","1.3227980136871338","1.3227980136871338"
"23000","1.3090632586252122","1.3090632586252122","1.3090632586252122"
"24000","1.3227768284933907","1.3227768284933907","1.3227768284933907"
"25000","1.3735221056711107","1.3735221056711107","1.3735221056711107"
"26000","1.2818804468427385","1.2818804468427385","1.2818804468427385"
"27000","1.2990925709406536","1.2990925709406536","1.2990925709406536"
"28000","1.3160716408774966","1.3160716408774966","1.3160716408774966"
"29000","1.3418658460889543","1.3418658460889543","1.3418658460889543"
"30000","1.3186315922510057","1.3186315922510057","1.3186315922510057"
"31000","1.2996960764839536","1.2996960764839536","1.2996960764839536"
"32000","1.2801807040259952","1.2801807040259952","1.2801807040259952"
"33000","1.261210458619254","1.261210458619254","1.261210458619254"
"34000","1.3189519132886613","1.3189519132886613","1.3189519132886613"
"35000","1.3150513626280285","1.3150513626280285","1.3150513626280285"
"36000","1.3258970067614602","1.3258970067614602","1.3258970067614602"
"37000","1.3320186138153076","1.3320186138153076","1.3320186138153076"
"38000","1.3036763157163347","1.3036763157163347","1.3036763157163347"
"39000","1.2910109020414806","1.2910109020414806","1.2910109020414806"
"40000","1.3035243125188918","1.3035243125188918","1.3035243125188918"
"41000","1.2999999182564872","1.2999999182564872","1.2999999182564872"
"42000","1.331928287233625","1.331928287233625","1.331928287233625"
"43000","1.3015646423612321","1.3015646423612321","1.3015646423612321"
"44000","1.3022109894525438","1.3022109894525438","1.3022109894525438"
"45000","1.3093578418095906","1.3093578418095906","1.3093578418095906"
"46000","1.3095358326321556","1.3095358326321556","1.3095358326321556"
"47000","1.2919426361719768","1.2919426361719768","1.2919426361719768"
"48000","1.3179740281332106","1.3179740281332106","1.3179740281332106"
"49000","1.3134689331054688","1.3134689331054688","1.3134689331054688"
