"Step","sunny-sweep-4 - Train/Losses","sunny-sweep-4 - Train/Losses__MIN","sunny-sweep-4 - Train/Losses__MAX"
"1000","1.5272163663591658","1.5272163663591658","1.5272163663591658"
"2000","1.4773962724776495","1.4773962724776495","1.4773962724776495"
"3000","1.4788105487823486","1.4788105487823486","1.4788105487823486"
"4000","1.4363352911812919","1.4363352911812919","1.4363352911812919"
"5000","1.4359338964734758","1.4359338964734758","1.4359338964734758"
"6000","1.434299798238845","1.434299798238845","1.434299798238845"
"7000","1.4205797910690308","1.4205797910690308","1.4205797910690308"
"8000","1.412330048424857","1.412330048424857","1.412330048424857"
"9000","1.46304532459804","1.46304532459804","1.46304532459804"
"10000","1.395963226045881","1.395963226045881","1.395963226045881"
"11000","1.432262897491455","1.432262897491455","1.432262897491455"
"12000","1.3803907973425729","1.3803907973425729","1.3803907973425729"
"13000","1.3993946200325376","1.3993946200325376","1.3993946200325376"
"14000","1.3594361600421725","1.3594361600421725","1.3594361600421725"
"15000","1.3658504769915627","1.3658504769915627","1.3658504769915627"
"16000","1.3391952003751482","1.3391952003751482","1.3391952003751482"
"17000","1.2931736934752691","1.2931736934752691","1.2931736934752691"
"18000","1.329199580919175","1.329199580919175","1.329199580919175"
"19000","1.3632990065075101","1.3632990065075101","1.3632990065075101"
"20000","1.311113408633641","1.311113408633641","1.311113408633641"
"21000","1.3446018184934343","1.3446018184934343","1.3446018184934343"
"22000","1.2989981060936338","1.2989981060936338","1.2989981060936338"
"23000","1.3703707229523432","1.3703707229523432","1.3703707229523432"
"24000","1.306295116742452","1.306295116742452","1.306295116742452"
"25000","1.3184859866187686","1.3184859866187686","1.3184859866187686"
"26000","1.3219935212816512","1.3219935212816512","1.3219935212816512"
"27000","1.2970231941768102","1.2970231941768102","1.2970231941768102"
"28000","1.313453855968657","1.313453855968657","1.313453855968657"
"29000","1.32185697555542","1.32185697555542","1.32185697555542"
"30000","1.3079983109519595","1.3079983109519595","1.3079983109519595"
"31000","1.3435008525848389","1.3435008525848389","1.3435008525848389"
"32000","1.2843224094027565","1.2843224094027565","1.2843224094027565"
"33000","1.2918128002257574","1.2918128002257574","1.2918128002257574"
"34000","1.3371896062578474","1.3371896062578474","1.3371896062578474"
"35000","1.330768965539478","1.330768965539478","1.330768965539478"
"36000","1.3049191179729642","1.3049191179729642","1.3049191179729642"
"37000","1.2991968790690105","1.2991968790690105","1.2991968790690105"
"38000","1.280203558149792","1.280203558149792","1.280203558149792"
"39000","1.2850329592114402","1.2850329592114402","1.2850329592114402"
"40000","1.26658296585083","1.26658296585083","1.26658296585083"
"41000","1.2684933628354753","1.2684933628354753","1.2684933628354753"
"42000","1.275586207707723","1.275586207707723","1.275586207707723"
"43000","1.2758073806762695","1.2758073806762695","1.2758073806762695"
"44000","1.2732120525269282","1.2732120525269282","1.2732120525269282"
"45000","1.293393611907959","1.293393611907959","1.293393611907959"
"46000","1.2802745387667702","1.2802745387667702","1.2802745387667702"
"47000","1.2971034049987793","1.2971034049987793","1.2971034049987793"
"48000","1.290897772425697","1.290897772425697","1.290897772425697"
"49000","1.2883395751317341","1.2883395751317341","1.2883395751317341"
