"Step","sunny-sweep-5 - Train/Accuracies_most_certrain_per_input","sunny-sweep-5 - Train/Accuracies_most_certrain_per_input__MIN","sunny-sweep-5 - Train/Accuracies_most_certrain_per_input__MAX"
"1000","0.2767857142857143","0.2767857142857143","0.2767857142857143"
"2000","0.2775297619047619","0.2775297619047619","0.2775297619047619"
"3000","0.25148809523809523","0.25148809523809523","0.25148809523809523"
"4000","0.30282738095238093","0.30282738095238093","0.30282738095238093"
"5000","0.2819940476190476","0.2819940476190476","0.2819940476190476"
"6000","0.27901785714285715","0.27901785714285715","0.27901785714285715"
"7000","0.27232142857142855","0.27232142857142855","0.27232142857142855"
"8000","0.29092261904761907","0.29092261904761907","0.29092261904761907"
"9000","0.27827380952380953","0.27827380952380953","0.27827380952380953"
"10000","0.30505952380952384","0.30505952380952384","0.30505952380952384"
"11000","0.2418154761904762","0.2418154761904762","0.2418154761904762"
"12000","0.2693452380952381","0.2693452380952381","0.2693452380952381"
"13000","0.29092261904761907","0.29092261904761907","0.29092261904761907"
"14000","0.26860119047619047","0.26860119047619047","0.26860119047619047"
"15000","0.26264880952380953","0.26264880952380953","0.26264880952380953"
"16000","0.2775297619047619","0.2775297619047619","0.2775297619047619"
"17000","0.26264880952380953","0.26264880952380953","0.26264880952380953"
"18000","0.3013392857142857","0.3013392857142857","0.3013392857142857"
"19000","0.2931547619047619","0.2931547619047619","0.2931547619047619"
"20000","0.27827380952380953","0.27827380952380953","0.27827380952380953"
"21000","0.2552083333333333","0.2552083333333333","0.2552083333333333"
"22000","0.31026785714285715","0.31026785714285715","0.31026785714285715"
"23000","0.3020833333333333","0.3020833333333333","0.3020833333333333"
"24000","0.28422619047619047","0.28422619047619047","0.28422619047619047"
"25000","0.2544642857142857","0.2544642857142857","0.2544642857142857"
"26000","0.3229166666666667","0.3229166666666667","0.3229166666666667"
"27000","0.3087797619047619","0.3087797619047619","0.3087797619047619"
"28000","0.3005952380952381","0.3005952380952381","0.3005952380952381"
"29000","0.28720238095238093","0.28720238095238093","0.28720238095238093"
"30000","0.28125","0.28125","0.28125"
"31000","0.29464285714285715","0.29464285714285715","0.29464285714285715"
"32000","0.3236607142857143","0.3236607142857143","0.3236607142857143"
"33000","0.33110119047619047","0.33110119047619047","0.33110119047619047"
"34000","0.29910714285714285","0.29910714285714285","0.29910714285714285"
"35000","0.27827380952380953","0.27827380952380953","0.27827380952380953"
"36000","0.28794642857142855","0.28794642857142855","0.28794642857142855"
"37000","0.28422619047619047","0.28422619047619047","0.28422619047619047"
"38000","0.30357142857142855","0.30357142857142855","0.30357142857142855"
"39000","0.29836309523809523","0.29836309523809523","0.29836309523809523"
"40000","0.29910714285714285","0.29910714285714285","0.29910714285714285"
"41000","0.31026785714285715","0.31026785714285715","0.31026785714285715"
"42000","0.2805059523809524","0.2805059523809524","0.2805059523809524"
"43000","0.30580357142857145","0.30580357142857145","0.30580357142857145"
"44000","0.31026785714285715","0.31026785714285715","0.31026785714285715"
"45000","0.3072916666666667","0.3072916666666667","0.3072916666666667"
"46000","0.2976190476190476","0.2976190476190476","0.2976190476190476"
"47000","0.3072916666666667","0.3072916666666667","0.3072916666666667"
"48000","0.29836309523809523","0.29836309523809523","0.29836309523809523"
"49000","0.29538690476190477","0.29538690476190477","0.29538690476190477"
