"Step","kan_10_5_splendid-sweep-1 - Train/Accuracies_most_certain","kan_10_5_splendid-sweep-1 - Train/Accuracies_most_certain__MIN","kan_10_5_splendid-sweep-1 - Train/Accuracies_most_certain__MAX"
"1000","0.5025402250744048","0.5025402250744048","0.5025402250744048"
"2000","0.5393182663690477","0.5393182663690477","0.5393182663690477"
"3000","0.5440354120163691","0.5440354120163691","0.5440354120163691"
"4000","0.5511300223214286","0.5511300223214286","0.5511300223214286"
"5000","0.5600149972098214","0.5600149972098214","0.5600149972098214"
"6000","0.5731608072916666","0.5731608072916666","0.5731608072916666"
"7000","0.5834147135416666","0.5834147135416666","0.5834147135416666"
"8000","0.5906720842633929","0.5906720842633929","0.5906720842633929"
"9000","0.6020042782738095","0.6020042782738095","0.6020042782738095"
"10000","0.6101219540550595","0.6101219540550595","0.6101219540550595"
"11000","0.6158621651785714","0.6158621651785714","0.6158621651785714"
"12000","0.6227242606026786","0.6227242606026786","0.6227242606026786"
"13000","0.6286679222470238","0.6286679222470238","0.6286679222470238"
"14000","0.6309930710565477","0.6309930710565477","0.6309930710565477"
"15000","0.6356724330357143","0.6356724330357143","0.6356724330357143"
"16000","0.6415376209077381","0.6415376209077381","0.6415376209077381"
"17000","0.6440981910342262","0.6440981910342262","0.6440981910342262"
"18000","0.6463564918154762","0.6463564918154762","0.6463564918154762"
"19000","0.6514950706845238","0.6514950706845238","0.6514950706845238"
"20000","0.6546340215773809","0.6546340215773809","0.6546340215773809"
"21000","0.6572759719122023","0.6572759719122023","0.6572759719122023"
"22000","0.6594325474330357","0.6594325474330357","0.6594325474330357"
"23000","0.6645042782738095","0.6645042782738095","0.6645042782738095"
"24000","0.6586013067336309","0.6586013067336309","0.6586013067336309"
"25000","0.66448974609375","0.66448974609375","0.66448974609375"
"26000","0.6649024600074405","0.6649024600074405","0.6649024600074405"
"27000","0.6683262416294643","0.6683262416294643","0.6683262416294643"
"28000","0.6706804547991071","0.6706804547991071","0.6706804547991071"
"29000","0.67047119140625","0.67047119140625","0.67047119140625"
"30000","0.6721046084449405","0.6721046084449405","0.6721046084449405"
"31000","0.6729358491443452","0.6729358491443452","0.6729358491443452"
"32000","0.6744239443824405","0.6744239443824405","0.6744239443824405"
"33000","0.6768653506324405","0.6768653506324405","0.6768653506324405"
"34000","0.6783766973586309","0.6783766973586309","0.6783766973586309"
"35000","0.6824544270833334","0.6824544270833334","0.6824544270833334"
"36000","0.6828962053571429","0.6828962053571429","0.6828962053571429"
"37000","0.6840762183779762","0.6840762183779762","0.6840762183779762"
"38000","0.6863519577752977","0.6863519577752977","0.6863519577752977"
"39000","0.687744140625","0.687744140625","0.687744140625"
"40000","0.6884765625","0.6884765625","0.6884765625"
"41000","0.6905430385044643","0.6905430385044643","0.6905430385044643"
"42000","0.6912987118675595","0.6912987118675595","0.6912987118675595"
"43000","0.6943475632440477","0.6943475632440477","0.6943475632440477"
"44000","0.6935076032366071","0.6935076032366071","0.6935076032366071"
"45000","0.6933971586681548","0.6933971586681548","0.6933971586681548"
"46000","0.6981462751116071","0.6981462751116071","0.6981462751116071"
"47000","0.6969226655505952","0.6969226655505952","0.6969226655505952"
"48000","0.6979835146949405","0.6979835146949405","0.6979835146949405"
"49000","0.6997506277901786","0.6997506277901786","0.6997506277901786"
"50000","0.7014247349330357","0.7014247349330357","0.7014247349330357"
"51000","0.7020118350074405","0.7020118350074405","0.7020118350074405"
"52000","0.7026715959821429","0.7026715959821429","0.7026715959821429"
"53000","0.7049095517113095","0.7049095517113095","0.7049095517113095"
"54000","0.7015351795014881","0.7015351795014881","0.7015351795014881"
"55000","0.7049560546875","0.7049560546875","0.7049560546875"
"56000","0.7046189081101191","0.7046189081101191","0.7046189081101191"
