"Step","skilled-sweep-3 - Train/Losses","skilled-sweep-3 - Train/Losses__MIN","skilled-sweep-3 - Train/Losses__MAX","playful-sweep-2 - Train/Losses","playful-sweep-2 - Train/Losses__MIN","playful-sweep-2 - Train/Losses__MAX","prime-sweep-1 - Train/Losses","prime-sweep-1 - Train/Losses__MIN","prime-sweep-1 - Train/Losses__MAX"
"48","0.6935226321220398","0.6935226321220398","0.6935226321220398","0.693596363067627","0.693596363067627","0.693596363067627","0.6935594081878662","0.6935594081878662","0.6935594081878662"
"59","0.6944044232368469","0.6944044232368469","0.6944044232368469","0.6945883631706238","0.6945883631706238","0.6945883631706238","0.6944841146469116","0.6944841146469116","0.6944841146469116"
"72","0.6940662264823914","0.6940662264823914","0.6940662264823914","0.6942389607429504","0.6942389607429504","0.6942389607429504","0.6941440105438232","0.6941440105438232","0.6941440105438232"
"118","0.6929419636726379","0.6929419636726379","0.6929419636726379","0.6931220889091492","0.6931220889091492","0.6931220889091492","0.693020761013031","0.693020761013031","0.693020761013031"
"148","0.6929863691329956","0.6929863691329956","0.6929863691329956","0.6934832334518433","0.6934832334518433","0.6934832334518433","0.6931926012039185","0.6931926012039185","0.6931926012039185"
"150","0.6927765607833862","0.6927765607833862","0.6927765607833862","0.6929111480712891","0.6929111480712891","0.6929111480712891","0.6928583383560181","0.6928583383560181","0.6928583383560181"
"153","0.6929638981819153","0.6929638981819153","0.6929638981819153","0.693202555179596","0.693202555179596","0.693202555179596","0.6930863261222839","0.6930863261222839","0.6930863261222839"
"154","0.6929924488067627","0.6929924488067627","0.6929924488067627","0.6929672360420227","0.6929672360420227","0.6929672360420227","0.6930011510848999","0.6930011510848999","0.6930011510848999"
"163","0.6928830146789551","0.6928830146789551","0.6928830146789551","0.6932034492492676","0.6932034492492676","0.6932034492492676","0.693033754825592","0.693033754825592","0.693033754825592"
"184","0.6921836137771606","0.6921836137771606","0.6921836137771606","0.6924158930778503","0.6924158930778503","0.6924158930778503","0.6923294067382812","0.6923294067382812","0.6923294067382812"
"224","0.6918531656265259","0.6918531656265259","0.6918531656265259","0.6922948360443115","0.6922948360443115","0.6922948360443115","0.6921752095222473","0.6921752095222473","0.6921752095222473"
"249","0.6907607913017273","0.6907607913017273","0.6907607913017273","0.6925963759422302","0.6925963759422302","0.6925963759422302","0.6918190121650696","0.6918190121650696","0.6918190121650696"
"258","0.6910773515701294","0.6910773515701294","0.6910773515701294","0.6926937699317932","0.6926937699317932","0.6926937699317932","0.6920825839042664","0.6920825839042664","0.6920825839042664"
"265","0.6902713775634766","0.6902713775634766","0.6902713775634766","0.6926630735397339","0.6926630735397339","0.6926630735397339","0.69179368019104","0.69179368019104","0.69179368019104"
"277","0.6894363760948181","0.6894363760948181","0.6894363760948181","0.6923006176948547","0.6923006176948547","0.6923006176948547","0.6911621689796448","0.6911621689796448","0.6911621689796448"
"280","0.6888776421546936","0.6888776421546936","0.6888776421546936","0.692003071308136","0.692003071308136","0.692003071308136","0.6906200051307678","0.6906200051307678","0.6906200051307678"
"291","0.6881282329559326","0.6881282329559326","0.6881282329559326","0.6918131113052368","0.6918131113052368","0.6918131113052368","0.6900948882102966","0.6900948882102966","0.6900948882102966"
"300","0.6874781250953674","0.6874781250953674","0.6874781250953674","0.6919817924499512","0.6919817924499512","0.6919817924499512","0.6899232864379883","0.6899232864379883","0.6899232864379883"
"304","0.6875491142272949","0.6875491142272949","0.6875491142272949","0.6914014220237732","0.6914014220237732","0.6914014220237732","0.6895926594734192","0.6895926594734192","0.6895926594734192"
"317","0.6863806843757629","0.6863806843757629","0.6863806843757629","0.6914079785346985","0.6914079785346985","0.6914079785346985","0.6890054941177368","0.6890054941177368","0.6890054941177368"
"336","0.684681236743927","0.684681236743927","0.684681236743927","0.6898739337921143","0.6898739337921143","0.6898739337921143","0.6865280270576477","0.6865280270576477","0.6865280270576477"
"352","0.6835393905639648","0.6835393905639648","0.6835393905639648","0.6884096264839172","0.6884096264839172","0.6884096264839172","0.6852033138275146","0.6852033138275146","0.6852033138275146"
"388","0.6834016442298889","0.6834016442298889","0.6834016442298889","0.6865214705467224","0.6865214705467224","0.6865214705467224","0.6839779615402222","0.6839779615402222","0.6839779615402222"
"424","0.6831912994384766","0.6831912994384766","0.6831912994384766","0.684995174407959","0.684995174407959","0.684995174407959","0.6841921210289001","0.6841921210289001","0.6841921210289001"
"429","0.6826560497283936","0.6826560497283936","0.6826560497283936","0.6844105124473572","0.6844105124473572","0.6844105124473572","0.6833795309066772","0.6833795309066772","0.6833795309066772"
"476","0.679969847202301","0.679969847202301","0.679969847202301","0.6837239861488342","0.6837239861488342","0.6837239861488342","0.6825662851333618","0.6825662851333618","0.6825662851333618"
"514","0.6767697334289551","0.6767697334289551","0.6767697334289551","0.6827881336212158","0.6827881336212158","0.6827881336212158","0.6810858845710754","0.6810858845710754","0.6810858845710754"
"533","0.6757638454437256","0.6757638454437256","0.6757638454437256","0.6834527254104614","0.6834527254104614","0.6834527254104614","0.6806808710098267","0.6806808710098267","0.6806808710098267"
"585","0.6736043691635132","0.6736043691635132","0.6736043691635132","0.6812288761138916","0.6812288761138916","0.6812288761138916","0.6762663125991821","0.6762663125991821","0.6762663125991821"
"612","0.6725150346755981","0.6725150346755981","0.6725150346755981","0.6797990202903748","0.6797990202903748","0.6797990202903748","0.6741774082183838","0.6741774082183838","0.6741774082183838"
"645","0.6721864938735962","0.6721864938735962","0.6721864938735962","0.6787645816802979","0.6787645816802979","0.6787645816802979","0.6733214259147644","0.6733214259147644","0.6733214259147644"
"651","0.6736481785774231","0.6736481785774231","0.6736481785774231","0.6783045530319214","0.6783045530319214","0.6783045530319214","0.6742444038391113","0.6742444038391113","0.6742444038391113"
"685","0.6723818182945251","0.6723818182945251","0.6723818182945251","0.6771560311317444","0.6771560311317444","0.6771560311317444","0.673285186290741","0.673285186290741","0.673285186290741"
"751","0.672038197517395","0.672038197517395","0.672038197517395","0.6744200587272644","0.6744200587272644","0.6744200587272644","0.6740689277648926","0.6740689277648926","0.6740689277648926"
"762","0.669481635093689","0.669481635093689","0.669481635093689","0.6733602285385132","0.6733602285385132","0.6733602285385132","0.6717994809150696","0.6717994809150696","0.6717994809150696"
"788","0.6700765490531921","0.6700765490531921","0.6700765490531921","0.6739548444747925","0.6739548444747925","0.6739548444747925","0.6727206707000732","0.6727206707000732","0.6727206707000732"
"801","0.6686683893203735","0.6686683893203735","0.6686683893203735","0.6728945374488831","0.6728945374488831","0.6728945374488831","0.6714664697647095","0.6714664697647095","0.6714664697647095"
"806","0.6696320176124573","0.6696320176124573","0.6696320176124573","0.6736796498298645","0.6736796498298645","0.6736796498298645","0.6729257702827454","0.6729257702827454","0.6729257702827454"
"812","0.6681775450706482","0.6681775450706482","0.6681775450706482","0.6719443202018738","0.6719443202018738","0.6719443202018738","0.6711772680282593","0.6711772680282593","0.6711772680282593"
"839","0.6658481359481812","0.6658481359481812","0.6658481359481812","0.6717407703399658","0.6717407703399658","0.6717407703399658","0.6706454157829285","0.6706454157829285","0.6706454157829285"
"884","0.6657728552818298","0.6657728552818298","0.6657728552818298","0.6730949282646179","0.6730949282646179","0.6730949282646179","0.6716806292533875","0.6716806292533875","0.6716806292533875"
