"Step","kan_10_5_splendid-sweep-1 - Train/Losses_every_step","kan_10_5_splendid-sweep-1 - Train/Losses_every_step__MIN","kan_10_5_splendid-sweep-1 - Train/Losses_every_step__MAX"
"0","0.6933561563491821","0.6933561563491821","0.6933561563491821"
"21","0.6932576894760132","0.6932576894760132","0.6932576894760132"
"48","0.6935026049613953","0.6935026049613953","0.6935026049613953"
"58","0.6929527521133423","0.6929527521133423","0.6929527521133423"
"59","0.6930680274963379","0.6930680274963379","0.6930680274963379"
"72","0.6930570602416992","0.6930570602416992","0.6930570602416992"
"77","0.6932957172393799","0.6932957172393799","0.6932957172393799"
"102","0.6930044889450073","0.6930044889450073","0.6930044889450073"
"118","0.6929740905761719","0.6929740905761719","0.6929740905761719"
"148","0.6930149793624878","0.6930149793624878","0.6930149793624878"
"150","0.6929436326026917","0.6929436326026917","0.6929436326026917"
"153","0.6931236982345581","0.6931236982345581","0.6931236982345581"
"154","0.6935510635375977","0.6935510635375977","0.6935510635375977"
"162","0.693193793296814","0.693193793296814","0.693193793296814"
"163","0.6929459571838379","0.6929459571838379","0.6929459571838379"
"166","0.6928348541259766","0.6928348541259766","0.6928348541259766"
"184","0.6925893425941467","0.6925893425941467","0.6925893425941467"
"192","0.6932398080825806","0.6932398080825806","0.6932398080825806"
"224","0.6927098631858826","0.6927098631858826","0.6927098631858826"
"249","0.6929090619087219","0.6929090619087219","0.6929090619087219"
"258","0.6922174692153931","0.6922174692153931","0.6922174692153931"
"265","0.6920980215072632","0.6920980215072632","0.6920980215072632"
"277","0.693044900894165","0.693044900894165","0.693044900894165"
"280","0.6934471130371094","0.6934471130371094","0.6934471130371094"
"291","0.6923379898071289","0.6923379898071289","0.6923379898071289"
"294","0.693340003490448","0.693340003490448","0.693340003490448"
"300","0.6927213072776794","0.6927213072776794","0.6927213072776794"
"304","0.6929638385772705","0.6929638385772705","0.6929638385772705"
"308","0.6921032667160034","0.6921032667160034","0.6921032667160034"
"317","0.6921947002410889","0.6921947002410889","0.6921947002410889"
"336","0.6924483776092529","0.6924483776092529","0.6924483776092529"
"352","0.6927148699760437","0.6927148699760437","0.6927148699760437"
"367","0.6921062469482422","0.6921062469482422","0.6921062469482422"
"371","0.692681610584259","0.692681610584259","0.692681610584259"
"381","0.6926389932632446","0.6926389932632446","0.6926389932632446"
"388","0.6924296617507935","0.6924296617507935","0.6924296617507935"
"396","0.6925423741340637","0.6925423741340637","0.6925423741340637"
"404","0.6922506093978882","0.6922506093978882","0.6922506093978882"
"424","0.6924020648002625","0.6924020648002625","0.6924020648002625"
"429","0.6924472451210022","0.6924472451210022","0.6924472451210022"
"434","0.692573070526123","0.692573070526123","0.692573070526123"
"454","0.6925569772720337","0.6925569772720337","0.6925569772720337"
"464","0.6923952102661133","0.6923952102661133","0.6923952102661133"
"471","0.692230224609375","0.692230224609375","0.692230224609375"
"476","0.6924792528152466","0.6924792528152466","0.6924792528152466"
"514","0.6923589706420898","0.6923589706420898","0.6923589706420898"
"518","0.6923638582229614","0.6923638582229614","0.6923638582229614"
"533","0.6927534937858582","0.6927534937858582","0.6927534937858582"
"548","0.6925674080848694","0.6925674080848694","0.6925674080848694"
"567","0.6921895146369934","0.6921895146369934","0.6921895146369934"
"574","0.6928157210350037","0.6928157210350037","0.6928157210350037"
"577","0.6925351023674011","0.6925351023674011","0.6925351023674011"
"584","0.6931265592575073","0.6931265592575073","0.6931265592575073"
"585","0.6930053234100342","0.6930053234100342","0.6930053234100342"
"588","0.6923072338104248","0.6923072338104248","0.6923072338104248"
"612","0.6923935413360596","0.6923935413360596","0.6923935413360596"
"645","0.6926223039627075","0.6926223039627075","0.6926223039627075"
"651","0.6924863457679749","0.6924863457679749","0.6924863457679749"
"662","0.6917448043823242","0.6917448043823242","0.6917448043823242"
"675","0.6921446323394775","0.6921446323394775","0.6921446323394775"
"685","0.6922187805175781","0.6922187805175781","0.6922187805175781"
"702","0.6921418905258179","0.6921418905258179","0.6921418905258179"
"751","0.6924985647201538","0.6924985647201538","0.6924985647201538"
"754","0.6917200684547424","0.6917200684547424","0.6917200684547424"
"762","0.6921072006225586","0.6921072006225586","0.6921072006225586"
"788","0.6922261714935303","0.6922261714935303","0.6922261714935303"
"801","0.6924954056739807","0.6924954056739807","0.6924954056739807"
"806","0.6923112869262695","0.6923112869262695","0.6923112869262695"
"812","0.6930888891220093","0.6930888891220093","0.6930888891220093"
"839","0.6922404766082764","0.6922404766082764","0.6922404766082764"
"881","0.6925868391990662","0.6925868391990662","0.6925868391990662"
"882","0.6920164823532104","0.6920164823532104","0.6920164823532104"
"884","0.6923153400421143","0.6923153400421143","0.6923153400421143"
"885","0.6921132802963257","0.6921132802963257","0.6921132802963257"
"913","0.6926136016845703","0.6926136016845703","0.6926136016845703"
"921","0.6930224299430847","0.6930224299430847","0.6930224299430847"
"947","0.6925541162490845","0.6925541162490845","0.6925541162490845"
"961","0.6923990249633789","0.6923990249633789","0.6923990249633789"
"962","0.6916224956512451","0.6916224956512451","0.6916224956512451"
"964","0.6921399235725403","0.6921399235725403","0.6921399235725403"
"971","0.6919898986816406","0.6919898986816406","0.6919898986816406"
"975","0.6925517916679382","0.6925517916679382","0.6925517916679382"
"990","0.6922768354415894","0.6922768354415894","0.6922768354415894"
"996","0.6917980909347534","0.6917980909347534","0.6917980909347534"
"997","0.6920216679573059","0.6920216679573059","0.6920216679573059"
"1010","0.6919746398925781","0.6919746398925781","0.6919746398925781"
"1020","0.6920537352561951","0.6920537352561951","0.6920537352561951"
"1025","0.6922327876091003","0.6922327876091003","0.6922327876091003"
"1049","0.6926223039627075","0.6926223039627075","0.6926223039627075"
"1066","0.6923076510429382","0.6923076510429382","0.6923076510429382"
"1074","0.6919004321098328","0.6919004321098328","0.6919004321098328"
"1084","0.6922190189361572","0.6922190189361572","0.6922190189361572"
"1103","0.6918361186981201","0.6918361186981201","0.6918361186981201"
"1112","0.6920127868652344","0.6920127868652344","0.6920127868652344"
"1128","0.6926789879798889","0.6926789879798889","0.6926789879798889"
"1130","0.6922366619110107","0.6922366619110107","0.6922366619110107"
"1136","0.6916342973709106","0.6916342973709106","0.6916342973709106"
"1163","0.692115306854248","0.692115306854248","0.692115306854248"
"1164","0.6920602321624756","0.6920602321624756","0.6920602321624756"
"1167","0.6918542981147766","0.6918542981147766","0.6918542981147766"
"1182","0.6918960809707642","0.6918960809707642","0.6918960809707642"
"1211","0.6920710802078247","0.6920710802078247","0.6920710802078247"
"1216","0.6919890642166138","0.6919890642166138","0.6919890642166138"
"1224","0.6923595666885376","0.6923595666885376","0.6923595666885376"
"1232","0.6909749507904053","0.6909749507904053","0.6909749507904053"
"1238","0.69035804271698","0.69035804271698","0.69035804271698"
"1252","0.6902589797973633","0.6902589797973633","0.6902589797973633"
"1268","0.6877709031105042","0.6877709031105042","0.6877709031105042"
"1271","0.6897239685058594","0.6897239685058594","0.6897239685058594"
"1273","0.6869055032730103","0.6869055032730103","0.6869055032730103"
"1301","0.6837109327316284","0.6837109327316284","0.6837109327316284"
"1325","0.68393874168396","0.68393874168396","0.68393874168396"
"1350","0.6838823556900024","0.6838823556900024","0.6838823556900024"
"1351","0.6813079118728638","0.6813079118728638","0.6813079118728638"
"1362","0.6781026124954224","0.6781026124954224","0.6781026124954224"
"1366","0.6833620667457581","0.6833620667457581","0.6833620667457581"
"1373","0.680138885974884","0.680138885974884","0.680138885974884"
"1403","0.6764464378356934","0.6764464378356934","0.6764464378356934"
"1408","0.6742815971374512","0.6742815971374512","0.6742815971374512"
"1424","0.6713202595710754","0.6713202595710754","0.6713202595710754"
"1428","0.6713322997093201","0.6713322997093201","0.6713322997093201"
"1446","0.6721006631851196","0.6721006631851196","0.6721006631851196"
"1447","0.6711181402206421","0.6711181402206421","0.6711181402206421"
"1448","0.673743486404419","0.673743486404419","0.673743486404419"
"1464","0.670106053352356","0.670106053352356","0.670106053352356"
"1465","0.670189619064331","0.670189619064331","0.670189619064331"
"1470","0.6708459854125977","0.6708459854125977","0.6708459854125977"
"1472","0.6804013252258301","0.6804013252258301","0.6804013252258301"
"1501","0.6698415279388428","0.6698415279388428","0.6698415279388428"
"1507","0.6692100763320923","0.6692100763320923","0.6692100763320923"
"1511","0.668477475643158","0.668477475643158","0.668477475643158"
"1531","0.6664924621582031","0.6664924621582031","0.6664924621582031"
"1540","0.6677446365356445","0.6677446365356445","0.6677446365356445"
"1551","0.666321873664856","0.666321873664856","0.666321873664856"
"1574","0.6645495891571045","0.6645495891571045","0.6645495891571045"
"1576","0.6631042957305908","0.6631042957305908","0.6631042957305908"
"1589","0.6641751527786255","0.6641751527786255","0.6641751527786255"
"1598","0.6626937389373779","0.6626937389373779","0.6626937389373779"
"1600","0.6638714671134949","0.6638714671134949","0.6638714671134949"
"1613","0.6616488695144653","0.6616488695144653","0.6616488695144653"
"1650","0.6609067916870117","0.6609067916870117","0.6609067916870117"
"1686","0.6608579158782959","0.6608579158782959","0.6608579158782959"
