"Step","mlp_10_5_misty-sweep-1 - Train/Losses_every_step","mlp_10_5_misty-sweep-1 - Train/Losses_every_step__MIN","mlp_10_5_misty-sweep-1 - Train/Losses_every_step__MAX"
"0","0.6932871341705322","0.6932871341705322","0.6932871341705322"
"21","0.6932397484779358","0.6932397484779358","0.6932397484779358"
"48","0.6929591298103333","0.6929591298103333","0.6929591298103333"
"58","0.692764937877655","0.692764937877655","0.692764937877655"
"59","0.6929433345794678","0.6929433345794678","0.6929433345794678"
"72","0.6940350532531738","0.6940350532531738","0.6940350532531738"
"77","0.6934559941291809","0.6934559941291809","0.6934559941291809"
"102","0.6926425099372864","0.6926425099372864","0.6926425099372864"
"118","0.692780077457428","0.692780077457428","0.692780077457428"
"148","0.6929471492767334","0.6929471492767334","0.6929471492767334"
"150","0.6924463510513306","0.6924463510513306","0.6924463510513306"
"153","0.6925525665283203","0.6925525665283203","0.6925525665283203"
"154","0.6936735510826111","0.6936735510826111","0.6936735510826111"
"162","0.6920705437660217","0.6920705437660217","0.6920705437660217"
"163","0.6930828094482422","0.6930828094482422","0.6930828094482422"
"166","0.6931501626968384","0.6931501626968384","0.6931501626968384"
"184","0.6918067932128906","0.6918067932128906","0.6918067932128906"
"192","0.6924958229064941","0.6924958229064941","0.6924958229064941"
"224","0.6927439570426941","0.6927439570426941","0.6927439570426941"
"249","0.6929677724838257","0.6929677724838257","0.6929677724838257"
"258","0.6915801167488098","0.6915801167488098","0.6915801167488098"
"265","0.6926183700561523","0.6926183700561523","0.6926183700561523"
"277","0.692058801651001","0.692058801651001","0.692058801651001"
"280","0.6925419569015503","0.6925419569015503","0.6925419569015503"
"291","0.6919353008270264","0.6919353008270264","0.6919353008270264"
"294","0.6924468874931335","0.6924468874931335","0.6924468874931335"
"300","0.6921049356460571","0.6921049356460571","0.6921049356460571"
"304","0.6922180652618408","0.6922180652618408","0.6922180652618408"
"308","0.692258358001709","0.692258358001709","0.692258358001709"
"317","0.6926519870758057","0.6926519870758057","0.6926519870758057"
"336","0.6917918920516968","0.6917918920516968","0.6917918920516968"
"352","0.6910219192504883","0.6910219192504883","0.6910219192504883"
"367","0.6922683715820312","0.6922683715820312","0.6922683715820312"
"371","0.6916182041168213","0.6916182041168213","0.6916182041168213"
"381","0.6919063329696655","0.6919063329696655","0.6919063329696655"
"388","0.6920605301856995","0.6920605301856995","0.6920605301856995"
