"Step","mlp_10_5_misty-sweep-1 - Train/Accuracies_most_certain","mlp_10_5_misty-sweep-1 - Train/Accuracies_most_certain__MIN","mlp_10_5_misty-sweep-1 - Train/Accuracies_most_certain__MAX"
"1000","0.5059640066964286","0.5059640066964286","0.5059640066964286"
"2000","0.5376906622023809","0.5376906622023809","0.5376906622023809"
"3000","0.5545857747395834","0.5545857747395834","0.5545857747395834"
"4000","0.5635405040922619","0.5635405040922619","0.5635405040922619"
"5000","0.5735967726934523","0.5735967726934523","0.5735967726934523"
"6000","0.5862048921130952","0.5862048921130952","0.5862048921130952"
"7000","0.5938720703125","0.5938720703125","0.5938720703125"
"8000","0.6013503301711309","0.6013503301711309","0.6013503301711309"
"9000","0.6097295851934523","0.6097295851934523","0.6097295851934523"
"10000","0.6178821382068452","0.6178821382068452","0.6178821382068452"
"11000","0.6263776506696429","0.6263776506696429","0.6263776506696429"
"12000","0.6333065941220238","0.6333065941220238","0.6333065941220238"
"13000","0.6385498046875","0.6385498046875","0.6385498046875"
"14000","0.6464524042038691","0.6464524042038691","0.6464524042038691"
"15000","0.6549886067708334","0.6549886067708334","0.6549886067708334"
"16000","0.6609758649553571","0.6609758649553571","0.6609758649553571"
"17000","0.6668759300595238","0.6668759300595238","0.6668759300595238"
"18000","0.6701631091889881","0.6701631091889881","0.6701631091889881"
"19000","0.6748221261160714","0.6748221261160714","0.6748221261160714"
"20000","0.6840064639136905","0.6840064639136905","0.6840064639136905"
"21000","0.6914905366443452","0.6914905366443452","0.6914905366443452"
"22000","0.6943155924479166","0.6943155924479166","0.6943155924479166"
"23000","0.6974429175967262","0.6974429175967262","0.6974429175967262"
"24000","0.7000616164434523","0.7000616164434523","0.7000616164434523"
"25000","0.7023606073288691","0.7023606073288691","0.7023606073288691"
"26000","0.7029477074032738","0.7029477074032738","0.7029477074032738"
"27000","0.7039533342633929","0.7039533342633929","0.7039533342633929"
"28000","0.7038661411830357","0.7038661411830357","0.7038661411830357"
"29000","0.7087344215029762","0.7087344215029762","0.7087344215029762"
"30000","0.7099464053199405","0.7099464053199405","0.7099464053199405"
"31000","0.7143496558779762","0.7143496558779762","0.7143496558779762"
"32000","0.7146635509672619","0.7146635509672619","0.7146635509672619"
"33000","0.7191917782738095","0.7191917782738095","0.7191917782738095"
"34000","0.7213774181547619","0.7213774181547619","0.7213774181547619"
"35000","0.7210489908854166","0.7210489908854166","0.7210489908854166"
"36000","0.7242024739583334","0.7242024739583334","0.7242024739583334"
"37000","0.7280215308779762","0.7280215308779762","0.7280215308779762"
"38000","0.7269054594494048","0.7269054594494048","0.7269054594494048"
"39000","0.7266148158482143","0.7266148158482143","0.7266148158482143"
"40000","0.7247779482886905","0.7247779482886905","0.7247779482886905"
"41000","0.7284371512276786","0.7284371512276786","0.7284371512276786"
"42000","0.7299281529017857","0.7299281529017857","0.7299281529017857"
"43000","0.7307099841889881","0.7307099841889881","0.7307099841889881"
"44000","0.7293759300595238","0.7293759300595238","0.7293759300595238"
"45000","0.7322707403273809","0.7322707403273809","0.7322707403273809"
"46000","0.7354997907366071","0.7354997907366071","0.7354997907366071"
"47000","0.7365751720610119","0.7365751720610119","0.7365751720610119"
"48000","0.7378394717261905","0.7378394717261905","0.7378394717261905"
"49000","0.7392519996279762","0.7392519996279762","0.7392519996279762"
"50000","0.7406034923735119","0.7406034923735119","0.7406034923735119"
"51000","0.7380342029389881","0.7380342029389881","0.7380342029389881"
"52000","0.7408737909226191","0.7408737909226191","0.7408737909226191"
"53000","0.7386358351934523","0.7386358351934523","0.7386358351934523"
"54000","0.7414608909970238","0.7414608909970238","0.7414608909970238"
"55000","0.7430361793154762","0.7430361793154762","0.7430361793154762"
"56000","0.7428530738467262","0.7428530738467262","0.7428530738467262"
"57000","0.7426350911458334","0.7426350911458334","0.7426350911458334"
"58000","0.7448410760788691","0.7448410760788691","0.7448410760788691"
"59000","0.7476254417782738","0.7476254417782738","0.7476254417782738"
"60000","0.7469191778273809","0.7469191778273809","0.7469191778273809"
"61000","0.7478870210193452","0.7478870210193452","0.7478870210193452"
"62000","0.7501918247767857","0.7501918247767857","0.7501918247767857"
"63000","0.7504243396577381","0.7504243396577381","0.7504243396577381"
"64000","0.7539614722842262","0.7539614722842262","0.7539614722842262"
"65000","0.7523687453497023","0.7523687453497023","0.7523687453497023"
"66000","0.7555018833705357","0.7555018833705357","0.7555018833705357"
"67000","0.7553013392857143","0.7553013392857143","0.7553013392857143"
"68000","0.7571265811011905","0.7571265811011905","0.7571265811011905"
"69000","0.7592860630580357","0.7592860630580357","0.7592860630580357"
"70000","0.7604166666666666","0.7604166666666666","0.7604166666666666"
"71000","0.7593994140625","0.7593994140625","0.7593994140625"
"72000","0.7587047758556548","0.7587047758556548","0.7587047758556548"
"73000","0.7615007672991071","0.7615007672991071","0.7615007672991071"
"74000","0.7632213774181548","0.7632213774181548","0.7632213774181548"
"75000","0.7635614304315477","0.7635614304315477","0.7635614304315477"
"76000","0.7634132021949405","0.7634132021949405","0.7634132021949405"
"77000","0.7650146484375","0.7650146484375","0.7650146484375"
"78000","0.7668631417410714","0.7668631417410714","0.7668631417410714"
"79000","0.7653256370907738","0.7653256370907738","0.7653256370907738"
"80000","0.7705281575520834","0.7705281575520834","0.7705281575520834"
"81000","0.7697666713169643","0.7697666713169643","0.7697666713169643"
"82000","0.7726585751488095","0.7726585751488095","0.7726585751488095"
"83000","0.7737368629092262","0.7737368629092262","0.7737368629092262"
"84000","0.7739693777901786","0.7739693777901786","0.7739693777901786"
"85000","0.7744489397321429","0.7744489397321429","0.7744489397321429"
"86000","0.7742629278273809","0.7742629278273809","0.7742629278273809"
"87000","0.7748238699776786","0.7748238699776786","0.7748238699776786"
"88000","0.7769601004464286","0.7769601004464286","0.7769601004464286"
"89000","0.7763177780877977","0.7763177780877977","0.7763177780877977"
