"Step","mlp_10_5_misty-sweep-1 - Train/Accuracies_most_certain","mlp_10_5_misty-sweep-1 - Train/Accuracies_most_certain__MIN","mlp_10_5_misty-sweep-1 - Train/Accuracies_most_certain__MAX"
"90000","0.7768293108258929","0.7768293108258929","0.7768293108258929"
"91000","0.7784569149925595","0.7784569149925595","0.7784569149925595"
"92000","0.7781575520833334","0.7781575520833334","0.7781575520833334"
"93000","0.7791166759672619","0.7791166759672619","0.7791166759672619"
"94000","0.7772769019717262","0.7772769019717262","0.7772769019717262"
"95000","0.7805582682291666","0.7805582682291666","0.7805582682291666"
"96000","0.7794974190848214","0.7794974190848214","0.7794974190848214"
"97000","0.7812761579241071","0.7812761579241071","0.7812761579241071"
"98000","0.7808111281622023","0.7808111281622023","0.7808111281622023"
"99000","0.7760242280505952","0.7760242280505952","0.7760242280505952"
"100000","0.7812209356398809","0.7812209356398809","0.7812209356398809"
"101000","0.7825026739211309","0.7825026739211309","0.7825026739211309"
"102000","0.7827991303943452","0.7827991303943452","0.7827991303943452"
"103000","0.7847638811383929","0.7847638811383929","0.7847638811383929"
"104000","0.7833135695684523","0.7833135695684523","0.7833135695684523"
"105000","0.7816859654017857","0.7816859654017857","0.7816859654017857"
"106000","0.7848481677827381","0.7848481677827381","0.7848481677827381"
"107000","0.7857491629464286","0.7857491629464286","0.7857491629464286"
"108000","0.7856735956101191","0.7856735956101191","0.7856735956101191"
"109000","0.786865234375","0.786865234375","0.786865234375"
"110000","0.7871297200520834","0.7871297200520834","0.7871297200520834"
"111000","0.7891496930803571","0.7891496930803571","0.7891496930803571"
"112000","0.7888096400669643","0.7888096400669643","0.7888096400669643"
"113000","0.7891380673363095","0.7891380673363095","0.7891380673363095"
"114000","0.7905244373139881","0.7905244373139881","0.7905244373139881"
"115000","0.7914341517857143","0.7914341517857143","0.7914341517857143"
