"Step","postactivation_production: kan - Train/Accuracies_most_certain","postactivation_production: kan - Train/Accuracies_most_certain__MIN","postactivation_production: kan - Train/Accuracies_most_certain__MAX","postactivation_production: mlp - Train/Accuracies_most_certain","postactivation_production: mlp - Train/Accuracies_most_certain__MIN","postactivation_production: mlp - Train/Accuracies_most_certain__MAX"
"10000","0.6059744698660714","0.5921253022693452","0.6284848167782738","0.6091471354166667","0.5945986793154762","0.6170828683035714"
"20000","0.6441374279203869","0.6275373186383929","0.6695963541666666","0.6429513113839286","0.6228259858630952","0.6583513532366071"
"30000","0.6691683814639137","0.6516549246651786","0.6929873511904762","0.6690900530133929","0.6390584309895834","0.6834309895833334"
"40000","0.6799062093098959","0.6679425920758929","0.6994134812127977","0.6830322265625","0.6510968889508929","0.7001924060639881"
"50000","0.6907515752883184","0.6794811430431548","0.7141084216889881","0.6942778087797619","0.6634463355654762","0.7162795293898809"
"60000","0.6992390950520834","0.6866949172247023","0.7155965169270834","0.7017130533854166","0.6748192196800595","0.7205374581473214"
"70000","0.7049320765904018","0.6898164295014881","0.7232607886904762","0.7112752278645833","0.6842854817708334","0.7330961681547619"
"80000","0.7103525797526041","0.6947602771577381","0.7264491489955357","0.7182355608258929","0.6893891834077381","0.7468523297991071"
"90000","0.7129923502604166","0.6964808872767857","0.7300385974702381","0.7235299246651785","0.6951613653273809","0.7526506696428571"
"100000","0.7171114966982886","0.6996721540178571","0.7362234933035714","0.728292992001488","0.7009364536830357","0.7558128720238095"
"110000","0.7199002220517112","0.7003435407366071","0.7392723446800595","0.7320562453497024","0.7094290597098214","0.7569725399925595"
"120000","0.7227514357793898","0.7020031156994048","0.7419578915550595","0.7359264555431547","0.7169363839285714","0.7557867140997023"
"130000","0.7252110072544643","0.7029448009672619","0.7423211960565477","0.7398675827752976","0.7216448102678571","0.7611461821056548"
"140000","0.7287110828218006","0.7038806733630952","0.7464977446056548","0.7436814081101192","0.7283819289434523","0.7643926711309523"
"150000","0.7292691185360862","0.7030494326636905","0.747802734375","0.7467750186011906","0.7347034272693452","0.7673630487351191"
"160000","0.7312360491071428","0.7043369838169643","0.7492530459449405","0.750273204985119","0.7376708984375","0.7700340634300595"
"170000","0.7335604713076637","0.7065778459821429","0.7540225074404762","0.7536324637276787","0.7401268368675595","0.7712867373511905"
"180000","0.7356501988002232","0.7074090866815477","0.7577136811755952","0.755964587983631","0.7436116536458334","0.7727283296130952"
"190000","0.7362329392206101","0.7069644019717262","0.7580973307291666","0.75777587890625","0.7458408900669643","0.7740420386904762"
"200000","0.7377675374348959","0.7071010044642857","0.7632330031622023","0.7596545991443453","0.7480585007440477","0.7740507579985119"
"210000","0.738949730282738","0.7079845610119048","0.7653837658110119","0.760647437686012","0.7487734840029762","0.7752540225074405"
"220000","0.7401537214006696","0.7083391462053571","0.7674734933035714","0.7623046875","0.7519734700520834","0.7756492978050595"
"230000","0.741179693312872","0.7079729352678571","0.7689528692336309","0.7643124534970238","0.7520083472842262","0.7775501069568452"
"240000","0.7425173804873512","0.7089262462797619","0.7700950985863095","0.7648013160342262","0.7536272321428571","0.7778378441220238"
"250000","0.7435927618117559","0.71063232421875","0.7714291527157738","0.7651018415178571","0.7540196010044643","0.7775966099330357"
"260000","0.7437562488374256","0.7101207914806548","0.7722574869791666","0.7659005301339284","0.7541445777529762","0.7788550967261905"
"270000","0.7441355387369792","0.7097342354910714","0.7716267903645834","0.7660214378720239","0.7554437546502977","0.7779976981026786"
"280000","0.7440563383556548","0.7103939964657738","0.7715250651041666","0.7660778227306547","0.7548130580357143","0.7784045991443452"
"290000","0.743865966796875","0.7088245210193452","0.7715337844122023","0.766902087983631","0.7566063290550595","0.7801688058035714"
"300000","0.7439749581473214","0.7096208844866071","0.7723068963913691","0.7667730422247024","0.7566877092633929","0.7795322963169643"
