"Step","skilled-sweep-3 - Train/Losses final","skilled-sweep-3 - Train/Losses final__MIN","skilled-sweep-3 - Train/Losses final__MAX","playful-sweep-2 - Train/Losses final","playful-sweep-2 - Train/Losses final__MIN","playful-sweep-2 - Train/Losses final__MAX","prime-sweep-1 - Train/Losses final","prime-sweep-1 - Train/Losses final__MIN","prime-sweep-1 - Train/Losses final__MAX"
"48","0.69677734375","0.69677734375","0.69677734375","0.69677734375","0.69677734375","0.69677734375","0.6962890625","0.6962890625","0.6962890625"
"59","0.6904296875","0.6904296875","0.6904296875","0.6904296875","0.6904296875","0.6904296875","0.6904296875","0.6904296875","0.6904296875"
"72","0.7041015625","0.7041015625","0.7041015625","0.70458984375","0.70458984375","0.70458984375","0.70458984375","0.70458984375","0.70458984375"
"118","0.6884765625","0.6884765625","0.6884765625","0.6875","0.6875","0.6875","0.68798828125","0.68798828125","0.68798828125"
"148","0.68994140625","0.68994140625","0.68994140625","0.69189453125","0.69189453125","0.69189453125","0.69140625","0.69140625","0.69140625"
"150","0.68798828125","0.68798828125","0.68798828125","0.68701171875","0.68701171875","0.68701171875","0.6875","0.6875","0.6875"
"153","0.6875","0.6875","0.6875","0.68701171875","0.68701171875","0.68701171875","0.68798828125","0.68798828125","0.68798828125"
"154","0.693359375","0.693359375","0.693359375","0.69287109375","0.69287109375","0.69287109375","0.693359375","0.693359375","0.693359375"
"163","0.6943359375","0.6943359375","0.6943359375","0.69677734375","0.69677734375","0.69677734375","0.6953125","0.6953125","0.6953125"
"184","0.69287109375","0.69287109375","0.69287109375","0.693359375","0.693359375","0.693359375","0.69287109375","0.69287109375","0.69287109375"
"224","0.69287109375","0.69287109375","0.69287109375","0.69384765625","0.69384765625","0.69384765625","0.69287109375","0.69287109375","0.69287109375"
"249","0.6884765625","0.6884765625","0.6884765625","0.68896484375","0.68896484375","0.68896484375","0.689453125","0.689453125","0.689453125"
"258","0.69384765625","0.69384765625","0.69384765625","0.69287109375","0.69287109375","0.69287109375","0.69384765625","0.69384765625","0.69384765625"
"265","0.68994140625","0.68994140625","0.68994140625","0.69287109375","0.69287109375","0.69287109375","0.69140625","0.69140625","0.69140625"
"277","0.6962890625","0.6962890625","0.6962890625","0.69189453125","0.69189453125","0.69189453125","0.6943359375","0.6943359375","0.6943359375"
"280","0.6923828125","0.6923828125","0.6923828125","0.6923828125","0.6923828125","0.6923828125","0.6923828125","0.6923828125","0.6923828125"
"291","0.6904296875","0.6904296875","0.6904296875","0.69140625","0.69140625","0.69140625","0.69091796875","0.69091796875","0.69091796875"
"300","0.6982421875","0.6982421875","0.6982421875","0.69873046875","0.69873046875","0.69873046875","0.69921875","0.69921875","0.69921875"
"304","0.6875","0.6875","0.6875","0.69287109375","0.69287109375","0.69287109375","0.69189453125","0.69189453125","0.69189453125"
"317","0.689453125","0.689453125","0.689453125","0.6943359375","0.6943359375","0.6943359375","0.6923828125","0.6923828125","0.6923828125"
"336","0.68408203125","0.68408203125","0.68408203125","0.68798828125","0.68798828125","0.68798828125","0.685546875","0.685546875","0.685546875"
"352","0.69287109375","0.69287109375","0.69287109375","0.68896484375","0.68896484375","0.68896484375","0.69140625","0.69140625","0.69140625"
"388","0.69873046875","0.69873046875","0.69873046875","0.69384765625","0.69384765625","0.69384765625","0.69775390625","0.69775390625","0.69775390625"
"424","0.69384765625","0.69384765625","0.69384765625","0.69873046875","0.69873046875","0.69873046875","0.69482421875","0.69482421875","0.69482421875"
"429","0.7041015625","0.7041015625","0.7041015625","0.70263671875","0.70263671875","0.70263671875","0.7021484375","0.7021484375","0.7021484375"
"476","0.6923828125","0.6923828125","0.6923828125","0.6943359375","0.6943359375","0.6943359375","0.6923828125","0.6923828125","0.6923828125"
"514","0.6904296875","0.6904296875","0.6904296875","0.69384765625","0.69384765625","0.69384765625","0.69384765625","0.69384765625","0.69384765625"
"533","0.689453125","0.689453125","0.689453125","0.689453125","0.689453125","0.689453125","0.69140625","0.69140625","0.69140625"
"585","0.69775390625","0.69775390625","0.69775390625","0.6884765625","0.6884765625","0.6884765625","0.6953125","0.6953125","0.6953125"
"612","0.6962890625","0.6962890625","0.6962890625","0.69482421875","0.69482421875","0.69482421875","0.693359375","0.693359375","0.693359375"
"645","0.697265625","0.697265625","0.697265625","0.69775390625","0.69775390625","0.69775390625","0.69873046875","0.69873046875","0.69873046875"
"651","0.6943359375","0.6943359375","0.6943359375","0.697265625","0.697265625","0.697265625","0.69775390625","0.69775390625","0.69775390625"
"685","0.69287109375","0.69287109375","0.69287109375","0.6953125","0.6953125","0.6953125","0.693359375","0.693359375","0.693359375"
"751","0.693359375","0.693359375","0.693359375","0.693359375","0.693359375","0.693359375","0.69287109375","0.69287109375","0.69287109375"
"762","0.69482421875","0.69482421875","0.69482421875","0.70166015625","0.70166015625","0.70166015625","0.69921875","0.69921875","0.69921875"
"788","0.69580078125","0.69580078125","0.69580078125","0.693359375","0.693359375","0.693359375","0.69091796875","0.69091796875","0.69091796875"
"801","0.70166015625","0.70166015625","0.70166015625","0.69287109375","0.69287109375","0.69287109375","0.69677734375","0.69677734375","0.69677734375"
"806","0.705078125","0.705078125","0.705078125","0.69873046875","0.69873046875","0.69873046875","0.69921875","0.69921875","0.69921875"
"812","0.69921875","0.69921875","0.69921875","0.693359375","0.693359375","0.693359375","0.69580078125","0.69580078125","0.69580078125"
"839","0.70166015625","0.70166015625","0.70166015625","0.69580078125","0.69580078125","0.69580078125","0.697265625","0.697265625","0.697265625"
"884","0.697265625","0.697265625","0.697265625","0.69775390625","0.69775390625","0.69775390625","0.69775390625","0.69775390625","0.69775390625"
"921","0.69873046875","0.69873046875","0.69873046875","0.6953125","0.6953125","0.6953125","0.70166015625","0.70166015625","0.70166015625"
"947","0.68994140625","0.68994140625","0.68994140625","0.68896484375","0.68896484375","0.68896484375","0.69287109375","0.69287109375","0.69287109375"
"961","0.68798828125","0.68798828125","0.68798828125","0.6875","0.6875","0.6875","0.6943359375","0.6943359375","0.6943359375"
"964","0.69970703125","0.69970703125","0.69970703125","0.69482421875","0.69482421875","0.69482421875","0.69580078125","0.69580078125","0.69580078125"
"975","0.69140625","0.69140625","0.69140625","0.68994140625","0.68994140625","0.68994140625","0.693359375","0.693359375","0.693359375"
"990","0.6904296875","0.6904296875","0.6904296875","0.69384765625","0.69384765625","0.69384765625","0.6884765625","0.6884765625","0.6884765625"
"996","0.69482421875","0.69482421875","0.69482421875","0.693359375","0.693359375","0.693359375","0.689453125","0.689453125","0.689453125"
"997","0.69189453125","0.69189453125","0.69189453125","0.693359375","0.693359375","0.693359375","0.69287109375","0.69287109375","0.69287109375"
"1020","0.703125","0.703125","0.703125","0.69580078125","0.69580078125","0.69580078125","0.70556640625","0.70556640625","0.70556640625"
"1049","0.689453125","0.689453125","0.689453125","0.6943359375","0.6943359375","0.6943359375","0.68994140625","0.68994140625","0.68994140625"
"1066","0.7001953125","0.7001953125","0.7001953125","0.6943359375","0.6943359375","0.6943359375","0.6982421875","0.6982421875","0.6982421875"
"1074","0.69189453125","0.69189453125","0.69189453125","0.6943359375","0.6943359375","0.6943359375","0.693359375","0.693359375","0.693359375"
"1103","0.69580078125","0.69580078125","0.69580078125","0.69580078125","0.69580078125","0.69580078125","0.6943359375","0.6943359375","0.6943359375"
"1112","0.69482421875","0.69482421875","0.69482421875","0.6943359375","0.6943359375","0.6943359375","0.68994140625","0.68994140625","0.68994140625"
"1128","0.693359375","0.693359375","0.693359375","0.69384765625","0.69384765625","0.69384765625","0.689453125","0.689453125","0.689453125"
"1130","0.69677734375","0.69677734375","0.69677734375","0.69384765625","0.69384765625","0.69384765625","0.6982421875","0.6982421875","0.6982421875"
"1136","0.6962890625","0.6962890625","0.6962890625","0.69580078125","0.69580078125","0.69580078125","0.701171875","0.701171875","0.701171875"
"1164","0.693359375","0.693359375","0.693359375","0.69287109375","0.69287109375","0.69287109375","0.6904296875","0.6904296875","0.6904296875"
"1167","0.69580078125","0.69580078125","0.69580078125","0.6904296875","0.6904296875","0.6904296875","0.69482421875","0.69482421875","0.69482421875"
"1182","0.68994140625","0.68994140625","0.68994140625","0.6884765625","0.6884765625","0.6884765625","0.68701171875","0.68701171875","0.68701171875"
"1216","0.6962890625","0.6962890625","0.6962890625","0.6943359375","0.6943359375","0.6943359375","0.6962890625","0.6962890625","0.6962890625"
"1232","0.697265625","0.697265625","0.697265625","0.69287109375","0.69287109375","0.69287109375","0.6962890625","0.6962890625","0.6962890625"
"1238","0.6962890625","0.6962890625","0.6962890625","0.6923828125","0.6923828125","0.6923828125","0.6953125","0.6953125","0.6953125"
"1252","0.68798828125","0.68798828125","0.68798828125","0.69384765625","0.69384765625","0.69384765625","0.68701171875","0.68701171875","0.68701171875"
"1268","0.689453125","0.689453125","0.689453125","0.69189453125","0.69189453125","0.69189453125","0.689453125","0.689453125","0.689453125"
