"Step","rose-sweep-3 - Train/Accuracies_most_certrain_per_input","rose-sweep-3 - Train/Accuracies_most_certrain_per_input__MIN","rose-sweep-3 - Train/Accuracies_most_certrain_per_input__MAX"
"1000","0.29538690476190477","0.29538690476190477","0.29538690476190477"
"2000","0.24627976190476192","0.24627976190476192","0.24627976190476192"
"3000","0.24925595238095238","0.24925595238095238","0.24925595238095238"
"4000","0.2708333333333333","0.2708333333333333","0.2708333333333333"
"5000","0.22470238095238096","0.22470238095238096","0.22470238095238096"
"6000","0.2700892857142857","0.2700892857142857","0.2700892857142857"
"7000","0.21949404761904762","0.21949404761904762","0.21949404761904762"
"8000","0.22544642857142858","0.22544642857142858","0.22544642857142858"
"9000","0.22916666666666666","0.22916666666666666","0.22916666666666666"
"10000","0.25148809523809523","0.25148809523809523","0.25148809523809523"
"11000","0.24032738095238096","0.24032738095238096","0.24032738095238096"
"12000","0.25223214285714285","0.25223214285714285","0.25223214285714285"
"13000","0.16592261904761904","0.16592261904761904","0.16592261904761904"
"14000","0.24107142857142858","0.24107142857142858","0.24107142857142858"
"15000","0.21651785714285715","0.21651785714285715","0.21651785714285715"
"16000","0.2418154761904762","0.2418154761904762","0.2418154761904762"
"17000","0.25744047619047616","0.25744047619047616","0.25744047619047616"
"18000","0.26339285714285715","0.26339285714285715","0.26339285714285715"
"19000","0.2544642857142857","0.2544642857142857","0.2544642857142857"
"20000","0.22247023809523808","0.22247023809523808","0.22247023809523808"
"21000","0.20163690476190477","0.20163690476190477","0.20163690476190477"
"22000","0.2619047619047619","0.2619047619047619","0.2619047619047619"
"23000","0.2767857142857143","0.2767857142857143","0.2767857142857143"
"24000","0.25223214285714285","0.25223214285714285","0.25223214285714285"
"25000","0.23883928571428573","0.23883928571428573","0.23883928571428573"
"26000","0.23735119047619047","0.23735119047619047","0.23735119047619047"
"27000","0.27232142857142855","0.27232142857142855","0.27232142857142855"
"28000","0.24925595238095238","0.24925595238095238","0.24925595238095238"
"29000","0.23809523809523808","0.23809523809523808","0.23809523809523808"
"30000","0.27306547619047616","0.27306547619047616","0.27306547619047616"
"31000","0.2507440476190476","0.2507440476190476","0.2507440476190476"
"32000","0.26339285714285715","0.26339285714285715","0.26339285714285715"
"33000","0.2708333333333333","0.2708333333333333","0.2708333333333333"
"34000","0.28125","0.28125","0.28125"
"35000","0.2604166666666667","0.2604166666666667","0.2604166666666667"
"36000","0.25967261904761907","0.25967261904761907","0.25967261904761907"
"37000","0.26785714285714285","0.26785714285714285","0.26785714285714285"
"38000","0.25967261904761907","0.25967261904761907","0.25967261904761907"
"39000","0.28125","0.28125","0.28125"
"40000","0.26264880952380953","0.26264880952380953","0.26264880952380953"
"41000","0.2805059523809524","0.2805059523809524","0.2805059523809524"
"42000","0.27380952380952384","0.27380952380952384","0.27380952380952384"
"43000","0.25744047619047616","0.25744047619047616","0.25744047619047616"
"44000","0.2849702380952381","0.2849702380952381","0.2849702380952381"
"45000","0.27901785714285715","0.27901785714285715","0.27901785714285715"
"46000","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"47000","0.28794642857142855","0.28794642857142855","0.28794642857142855"
"48000","0.2819940476190476","0.2819940476190476","0.2819940476190476"
"49000","0.27232142857142855","0.27232142857142855","0.27232142857142855"
