"Step","rose-sweep-3 - Train/Losses","rose-sweep-3 - Train/Losses__MIN","rose-sweep-3 - Train/Losses__MAX"
"1000","1.7175098657608032","1.7175098657608032","1.7175098657608032"
"2000","1.5247498353322346","1.5247498353322346","1.5247498353322346"
"3000","1.4778204531896681","1.4778204531896681","1.4778204531896681"
"4000","1.415115509714399","1.415115509714399","1.415115509714399"
"5000","1.4449416399002075","1.4449416399002075","1.4449416399002075"
"6000","1.3799904982248943","1.3799904982248943","1.3799904982248943"
"7000","1.429326437768482","1.429326437768482","1.429326437768482"
"8000","1.4264711028053647","1.4264711028053647","1.4264711028053647"
"9000","1.4166148673920405","1.4166148673920405","1.4166148673920405"
"10000","1.3910464218684606","1.3910464218684606","1.3910464218684606"
"11000","1.4082728737876529","1.4082728737876529","1.4082728737876529"
"12000","1.3969365074521018","1.3969365074521018","1.3969365074521018"
"13000","1.4645417474565052","1.4645417474565052","1.4645417474565052"
"14000","1.4065423068546115","1.4065423068546115","1.4065423068546115"
"15000","1.426983770870027","1.426983770870027","1.426983770870027"
"16000","1.402669072151184","1.402669072151184","1.402669072151184"
"17000","1.379148386773609","1.379148386773609","1.379148386773609"
"18000","1.365433585076105","1.365433585076105","1.365433585076105"
"19000","1.376010531470889","1.376010531470889","1.376010531470889"
"20000","1.3872438725971041","1.3872438725971041","1.3872438725971041"
"21000","1.4071080571129209","1.4071080571129209","1.4071080571129209"
"22000","1.3578860702968778","1.3578860702968778","1.3578860702968778"
"23000","1.3364371742521013","1.3364371742521013","1.3364371742521013"
"24000","1.378537268865676","1.378537268865676","1.378537268865676"
"25000","1.366951511019752","1.366951511019752","1.366951511019752"
"26000","1.3840715771629697","1.3840715771629697","1.3840715771629697"
"27000","1.3265920990989322","1.3265920990989322","1.3265920990989322"
"28000","1.3708041054861886","1.3708041054861886","1.3708041054861886"
"29000","1.3766460986364455","1.3766460986364455","1.3766460986364455"
"30000","1.335825590860276","1.335825590860276","1.335825590860276"
"31000","1.3765900986535209","1.3765900986535209","1.3765900986535209"
"32000","1.3444244407472157","1.3444244407472157","1.3444244407472157"
"33000","1.3515492677688599","1.3515492677688599","1.3515492677688599"
"34000","1.3256340140388125","1.3256340140388125","1.3256340140388125"
"35000","1.3599541300819034","1.3599541300819034","1.3599541300819034"
"36000","1.368376958937872","1.368376958937872","1.368376958937872"
"37000","1.3238910323097592","1.3238910323097592","1.3238910323097592"
"38000","1.3714345296223958","1.3714345296223958","1.3714345296223958"
"39000","1.330980658531189","1.330980658531189","1.330980658531189"
"40000","1.3427094277881442","1.3427094277881442","1.3427094277881442"
"41000","1.33102171761649","1.33102171761649","1.33102171761649"
"42000","1.337362323488508","1.337362323488508","1.337362323488508"
"43000","1.3651837621416365","1.3651837621416365","1.3651837621416365"
"44000","1.319914045787993","1.319914045787993","1.319914045787993"
"45000","1.3243986027581351","1.3243986027581351","1.3243986027581351"
"46000","1.3254526115599132","1.3254526115599132","1.3254526115599132"
"47000","1.2985897120975314","1.2985897120975314","1.2985897120975314"
"48000","1.334260072026934","1.334260072026934","1.334260072026934"
"49000","1.3270822082247054","1.3270822082247054","1.3270822082247054"
