"Step","kan-sparkling-sweep-1 - Train/Accuracies_most_certrain_per_input","kan-sparkling-sweep-1 - Train/Accuracies_most_certrain_per_input__MIN","kan-sparkling-sweep-1 - Train/Accuracies_most_certrain_per_input__MAX"
"1000","0.2760416666666667","0.2760416666666667","0.2760416666666667"
"2000","0.25","0.25","0.25"
"3000","0.21205357142857142","0.21205357142857142","0.21205357142857142"
"4000","0.2418154761904762","0.2418154761904762","0.2418154761904762"
"5000","0.24702380952380953","0.24702380952380953","0.24702380952380953"
"6000","0.23809523809523808","0.23809523809523808","0.23809523809523808"
"7000","0.21354166666666666","0.21354166666666666","0.21354166666666666"
"8000","0.24479166666666666","0.24479166666666666","0.24479166666666666"
"9000","0.27976190476190477","0.27976190476190477","0.27976190476190477"
"10000","0.24553571428571427","0.24553571428571427","0.24553571428571427"
"11000","0.23735119047619047","0.23735119047619047","0.23735119047619047"
"12000","0.23214285714285715","0.23214285714285715","0.23214285714285715"
"13000","0.2767857142857143","0.2767857142857143","0.2767857142857143"
"14000","0.22916666666666666","0.22916666666666666","0.22916666666666666"
"15000","0.27380952380952384","0.27380952380952384","0.27380952380952384"
"16000","0.2105654761904762","0.2105654761904762","0.2105654761904762"
"17000","0.25595238095238093","0.25595238095238093","0.25595238095238093"
"18000","0.20610119047619047","0.20610119047619047","0.20610119047619047"
"19000","0.22172619047619047","0.22172619047619047","0.22172619047619047"
"20000","0.24925595238095238","0.24925595238095238","0.24925595238095238"
"21000","0.24553571428571427","0.24553571428571427","0.24553571428571427"
"22000","0.23139880952380953","0.23139880952380953","0.23139880952380953"
"23000","0.24627976190476192","0.24627976190476192","0.24627976190476192"
"24000","0.21354166666666666","0.21354166666666666","0.21354166666666666"
"25000","0.20610119047619047","0.20610119047619047","0.20610119047619047"
"26000","0.26264880952380953","0.26264880952380953","0.26264880952380953"
"27000","0.2708333333333333","0.2708333333333333","0.2708333333333333"
"28000","0.21800595238095238","0.21800595238095238","0.21800595238095238"
"29000","0.25223214285714285","0.25223214285714285","0.25223214285714285"
"30000","0.23958333333333334","0.23958333333333334","0.23958333333333334"
"31000","0.23363095238095238","0.23363095238095238","0.23363095238095238"
"32000","0.2611607142857143","0.2611607142857143","0.2611607142857143"
"33000","0.27827380952380953","0.27827380952380953","0.27827380952380953"
"34000","0.24925595238095238","0.24925595238095238","0.24925595238095238"
"35000","0.2619047619047619","0.2619047619047619","0.2619047619047619"
"36000","0.2760416666666667","0.2760416666666667","0.2760416666666667"
"37000","0.2544642857142857","0.2544642857142857","0.2544642857142857"
"38000","0.24925595238095238","0.24925595238095238","0.24925595238095238"
"39000","0.2819940476190476","0.2819940476190476","0.2819940476190476"
"40000","0.24107142857142858","0.24107142857142858","0.24107142857142858"
"41000","0.25223214285714285","0.25223214285714285","0.25223214285714285"
"42000","0.27455357142857145","0.27455357142857145","0.27455357142857145"
"43000","0.25148809523809523","0.25148809523809523","0.25148809523809523"
"44000","0.2700892857142857","0.2700892857142857","0.2700892857142857"
"45000","0.2663690476190476","0.2663690476190476","0.2663690476190476"
"46000","0.25148809523809523","0.25148809523809523","0.25148809523809523"
"47000","0.27306547619047616","0.27306547619047616","0.27306547619047616"
"48000","0.30357142857142855","0.30357142857142855","0.30357142857142855"
"49000","0.2857142857142857","0.2857142857142857","0.2857142857142857"
