"Step","Hostname: b5f852e3ffd4 - Train/Accuracies_most_certrain_per_input","Hostname: b5f852e3ffd4 - Train/Accuracies_most_certrain_per_input__MIN","Hostname: b5f852e3ffd4 - Train/Accuracies_most_certrain_per_input__MAX"
"1000","0.285218253968254","0.2760416666666667","0.29538690476190477"
"2000","0.25223214285714285","0.24627976190476192","0.2604166666666667"
"3000","0.24057539682539683","0.21205357142857142","0.2604166666666667"
"4000","0.2524801587301587","0.2418154761904762","0.2708333333333333"
"5000","0.24280753968253968","0.22470238095238096","0.25669642857142855"
"6000","0.24305555555555555","0.22098214285714285","0.2700892857142857"
"7000","0.2336309523809524","0.21354166666666666","0.26785714285714285"
"8000","0.2462797619047619","0.22544642857142858","0.26860119047619047"
"9000","0.25669642857142855","0.22916666666666666","0.27976190476190477"
"10000","0.24727182539682538","0.24479166666666666","0.25148809523809523"
"11000","0.2462797619047619","0.23735119047619047","0.2611607142857143"
"12000","0.24727182539682538","0.23214285714285715","0.25744047619047616"
"13000","0.2199900793650794","0.16592261904761904","0.2767857142857143"
"14000","0.23611111111111113","0.22916666666666666","0.24107142857142858"
"15000","0.23983134920634921","0.21651785714285715","0.27380952380952384"
"16000","0.22718253968253968","0.2105654761904762","0.2418154761904762"
"17000","0.25148809523809523","0.24107142857142858","0.25744047619047616"
"18000","0.24652777777777776","0.20610119047619047","0.2700892857142857"
"19000","0.2398313492063492","0.22172619047619047","0.2544642857142857"
"20000","0.24801587301587302","0.22247023809523808","0.27232142857142855"
"21000","0.2234623015873016","0.20163690476190477","0.24553571428571427"
"22000","0.23958333333333334","0.22544642857142858","0.2619047619047619"
"23000","0.259672619047619","0.24627976190476192","0.2767857142857143"
"24000","0.23735119047619047","0.21354166666666666","0.25223214285714285"
"25000","0.21602182539682538","0.203125","0.23883928571428573"
"26000","0.2497519841269841","0.23735119047619047","0.26264880952380953"
"27000","0.26215277777777773","0.24330357142857142","0.27232142857142855"
"28000","0.24156746031746032","0.21800595238095238","0.25744047619047616"
"29000","0.2542162698412698","0.23809523809523808","0.27232142857142855"
"30000","0.26339285714285715","0.23958333333333334","0.2775297619047619"
"31000","0.24826388888888892","0.23363095238095238","0.2604166666666667"
"32000","0.25545634920634924","0.2418154761904762","0.26339285714285715"
"33000","0.26438492063492064","0.24404761904761904","0.27827380952380953"
"34000","0.26066468253968256","0.24925595238095238","0.28125"
"35000","0.25917658730158727","0.2552083333333333","0.2619047619047619"
"36000","0.2740575396825397","0.25967261904761907","0.2864583333333333"
"37000","0.2604166666666667","0.2544642857142857","0.26785714285714285"
"38000","0.24305555555555558","0.22023809523809523","0.25967261904761907"
"39000","0.27827380952380953","0.27157738095238093","0.2819940476190476"
"40000","0.25297619047619047","0.24107142857142858","0.26264880952380953"
"41000","0.26438492063492064","0.25223214285714285","0.2805059523809524"
"42000","0.2549603174603175","0.21651785714285715","0.27455357142857145"
"43000","0.25570436507936506","0.25148809523809523","0.25818452380952384"
"44000","0.2740575396825397","0.26711309523809523","0.2849702380952381"
"45000","0.27455357142857145","0.2663690476190476","0.27901785714285715"
"46000","0.26860119047619047","0.25148809523809523","0.2857142857142857"
"47000","0.2718253968253968","0.2544642857142857","0.28794642857142855"
"48000","0.2795138888888889","0.25297619047619047","0.30357142857142855"
"49000","0.27157738095238093","0.25669642857142855","0.2857142857142857"
