"Step","kan-sparkling-sweep-1 - Train/Losses","kan-sparkling-sweep-1 - Train/Losses__MIN","kan-sparkling-sweep-1 - Train/Losses__MAX"
"1000","1.720459290913173","1.720459290913173","1.720459290913173"
"2000","1.5184317089262462","1.5184317089262462","1.5184317089262462"
"3000","1.4932746092478435","1.4932746092478435","1.4932746092478435"
"4000","1.43442622252873","1.43442622252873","1.43442622252873"
"5000","1.4143524396987188","1.4143524396987188","1.4143524396987188"
"6000","1.4252595958255587","1.4252595958255587","1.4252595958255587"
"7000","1.4446961482365925","1.4446961482365925","1.4446961482365925"
"8000","1.4009176038560414","1.4009176038560414","1.4009176038560414"
"9000","1.3794314236867995","1.3794314236867995","1.3794314236867995"
"10000","1.3956085386730375","1.3956085386730375","1.3956085386730375"
"11000","1.4226767335619246","1.4226767335619246","1.4226767335619246"
"12000","1.41592994758061","1.41592994758061","1.41592994758061"
"13000","1.3622389066786993","1.3622389066786993","1.3622389066786993"
"14000","1.414968870934986","1.414968870934986","1.414968870934986"
"15000","1.3680225894564675","1.3680225894564675","1.3680225894564675"
"16000","1.4232257036935716","1.4232257036935716","1.4232257036935716"
"17000","1.3683493761789232","1.3683493761789232","1.3683493761789232"
"18000","1.4095395973750524","1.4095395973750524","1.4095395973750524"
"19000","1.390588260832287","1.390588260832287","1.390588260832287"
"20000","1.3790989887146723","1.3790989887146723","1.3790989887146723"
"21000","1.3935260602406092","1.3935260602406092","1.3935260602406092"
"22000","1.377193013827006","1.377193013827006","1.377193013827006"
"23000","1.3812272548675537","1.3812272548675537","1.3812272548675537"
"24000","1.4064012141454787","1.4064012141454787","1.4064012141454787"
"25000","1.4109793504079182","1.4109793504079182","1.4109793504079182"
"26000","1.3794240327108473","1.3794240327108473","1.3794240327108473"
"27000","1.339928462391808","1.339928462391808","1.339928462391808"
"28000","1.404999886240278","1.404999886240278","1.404999886240278"
"29000","1.355127147265843","1.355127147265843","1.355127147265843"
"30000","1.366804497582572","1.366804497582572","1.366804497582572"
"31000","1.3803267422176542","1.3803267422176542","1.3803267422176542"
"32000","1.335856522832598","1.335856522832598","1.335856522832598"
"33000","1.336259853272211","1.336259853272211","1.336259853272211"
"34000","1.3668540943236578","1.3668540943236578","1.3668540943236578"
"35000","1.340486004239037","1.340486004239037","1.340486004239037"
"36000","1.3139689990452357","1.3139689990452357","1.3139689990452357"
"37000","1.356416072164263","1.356416072164263","1.356416072164263"
"38000","1.3555598202205839","1.3555598202205839","1.3555598202205839"
"39000","1.3187703461874098","1.3187703461874098","1.3187703461874098"
"40000","1.350357861745925","1.350357861745925","1.350357861745925"
"41000","1.3591136705307734","1.3591136705307734","1.3591136705307734"
"42000","1.3124243531908308","1.3124243531908308","1.3124243531908308"
"43000","1.354004218464806","1.354004218464806","1.354004218464806"
"44000","1.3209766830716814","1.3209766830716814","1.3209766830716814"
"45000","1.3117194573084514","1.3117194573084514","1.3117194573084514"
"46000","1.3459940126964025","1.3459940126964025","1.3459940126964025"
"47000","1.33883113520486","1.33883113520486","1.33883113520486"
"48000","1.304183216322036","1.304183216322036","1.304183216322036"
"49000","1.2973103409721738","1.2973103409721738","1.2973103409721738"
