"Step","postactivation_production: kan - Train/Accuracies_every_step","postactivation_production: kan - Train/Accuracies_every_step__MIN","postactivation_production: kan - Train/Accuracies_every_step__MAX","postactivation_production: mlp - Train/Accuracies_every_step","postactivation_production: mlp - Train/Accuracies_every_step__MIN","postactivation_production: mlp - Train/Accuracies_every_step__MAX"
"1796","0.4","0.15625","0.75","0.2375","0.09375","0.53125"
"1814","0.15625","0.0625","0.328125","0.16875","0.078125","0.25"
"1821","0.165625","0.125","0.234375","0.228125","0.046875","0.8125"
"1830","0.0875","0.0625","0.125","0.2375","0.046875","0.5"
"1832","0.18125","0.078125","0.3125","0.2125","0.046875","0.328125"
"1833","0.38125","0.140625","0.53125","0.2","0.0625","0.46875"
"1846","0.165625","0.125","0.203125","0.25","0.125","0.46875"
"1897","0.234375","0.0625","0.4375","0.290625","0.109375","0.609375"
"1933","0.159375","0.0625","0.484375","0.33125","0.140625","0.609375"
"1944","0.25625","0.125","0.453125","0.15625","0.078125","0.328125"
"1956","0.09375","0.046875","0.140625","0.209375","0.078125","0.53125"
"1985","0.3375","0.125","0.625","0.30625","0.109375","0.546875"
"1991","0.390625","0.171875","0.65625","0.296875","0.0625","0.578125"
"2014","0.225","0.09375","0.609375","0.1875","0.0625","0.359375"
"2028","0.125","0.046875","0.1875","0.146875","0.109375","0.234375"
"2034","0.290625","0.140625","0.53125","0.11875","0.046875","0.1875"
"2049","0.303125","0.125","0.578125","0.225","0.078125","0.3125"
"2068","0.128125","0.09375","0.25","0.259375","0.15625","0.390625"
"2098","0.090625","0.078125","0.109375","0.234375","0.046875","0.421875"
"2105","0.271875","0.046875","0.59375","0.159375","0.046875","0.296875"
"2143","0.146875","0.109375","0.25","0.396875","0.25","0.65625"
"2152","0.26875","0.0625","0.453125","0.315625","0.078125","0.5625"
"2164","0.096875","0.046875","0.203125","0.18125","0.09375","0.25"
"2171","0.19375","0.109375","0.390625","0.171875","0.0625","0.28125"
"2184","0.1625","0.078125","0.25","0.184375","0.0625","0.28125"
"2187","0.265625","0.171875","0.484375","0.234375","0.09375","0.28125"
"2189","0.284375","0.078125","0.625","0.275","0.109375","0.671875"
"2201","0.3125","0.15625","0.546875","0.2625","0.125","0.53125"
"2203","0.2625","0.0625","0.65625","0.234375","0.125","0.40625"
"2213","0.13125","0.078125","0.171875","0.378125","0.15625","0.65625"
"2247","0.29375","0.125","0.703125","0.478125","0.171875","0.796875"
"2263","0.134375","0.125","0.140625","0.21875","0.109375","0.34375"
"2272","0.178125","0.0625","0.34375","0.221875","0.09375","0.578125"
"2283","0.265625","0.09375","0.578125","0.190625","0.125","0.21875"
"2295","0.128125","0.078125","0.25","0.29375","0.09375","0.796875"
"2302","0.175","0.015625","0.546875","0.21875","0.140625","0.359375"
"2328","0.21875","0.125","0.296875","0.21875","0.140625","0.28125"
"2352","0.19375","0.09375","0.515625","0.24375","0.0625","0.453125"
"2378","0.14375","0.125","0.171875","0.2125","0.15625","0.296875"
"2419","0.140625","0.046875","0.21875","0.134375","0.078125","0.265625"
"2422","0.25625","0.0625","0.734375","0.1875","0.09375","0.265625"
"2428","0.1125","0.0625","0.171875","0.25625","0.09375","0.5"
"2429","0.165625","0.046875","0.328125","0.284375","0.046875","0.609375"
"2459","0.25","0.125","0.640625","0.16875","0.0625","0.28125"
