"Step","postactivation_production: mlp - Train/Losses","postactivation_production: mlp - Train/Losses__MIN","postactivation_production: mlp - Train/Losses__MAX","postactivation_production: kan - Train/Losses","postactivation_production: kan - Train/Losses__MIN","postactivation_production: kan - Train/Losses__MAX"
"964","1.2333901882171632","1.1768509149551392","1.3553448915481567","1.8486721217632294","1.7610331773757935","1.926100492477417"
"975","2.1893287976582845","2.17193341255188","2.2335519790649414","2.1663182973861694","2.1604065895080566","2.170775890350342"
"990","1.9176914691925049","1.8863776922225952","1.962192416191101","2.223049521446228","2.213517189025879","2.2412405014038086"
"996","1.9412179072697957","1.9241502285003662","2.0018250942230225","2.246904820203781","2.2303380966186523","2.274348258972168"
"997","0.6624766985575358","0.6517948508262634","0.6788164377212524","1.9569567292928696","1.859098196029663","2.0194644927978516"
"1020","1.5700104713439942","1.5598337650299072","1.5899722576141357","2.129244029521942","2.071046829223633","2.157510757446289"
"1049","2.2917972087860106","2.2862601280212402","2.2961225509643555","2.3493610322475433","2.331005334854126","2.368877410888672"
"1066","1.6946149667104085","1.681803584098816","1.7115132808685303","2.1441884338855743","2.115419864654541","2.1559369564056396"
"1074","2.147097857793172","2.124575138092041","2.1818947792053223","2.2545166015625","2.2510299682617188","2.260012149810791"
"1103","2.311475388209025","2.303561210632324","2.3226146697998047","2.4057064950466156","2.3661293983459473","2.430058240890503"
"1112","2.29134570757548","2.272515296936035","2.2942824363708496","2.43750861287117","2.38759183883667","2.4715447425842285"
"1128","2.2833717981974284","2.2625725269317627","2.3399765491485596","2.293972223997116","2.2882602214813232","2.303873062133789"
"1130","2.3060507774353027","2.3021607398986816","2.3105978965759277","2.3541839718818665","2.333735227584839","2.378592014312744"
"1136","2.2978668212890625","2.290346384048462","2.3031749725341797","2.344258725643158","2.3396830558776855","2.351705312728882"
"1164","1.7992828130722045","1.7556661367416382","1.9156444072723389","2.191699057817459","2.176860809326172","2.204235315322876"
"1167","2.302843475341797","2.29677677154541","2.3069534301757812","2.373904913663864","2.3654651641845703","2.3806262016296387"
"1182","2.301956288019816","2.273153781890869","2.3254470825195312","2.3219679296016693","2.3154163360595703","2.3268468379974365"
"1216","0.9148561278978984","0.8909699320793152","0.9601717591285706","1.8034374117851257","1.7046382427215576","1.9120373725891113"
"1232","1.7331552267074586","1.7125868797302246","1.7926850318908691","2.182171106338501","2.168278694152832","2.1950347423553467"
"1238","2.029841446876526","1.9888142347335815","2.118959426879883","2.199162483215332","2.1929099559783936","2.2076940536499023"
"1252","2.306630325317383","2.3034846782684326","2.3088502883911133","2.3211485147476196","2.3101840019226074","2.339491844177246"
"1268","2.3096012433369952","2.3076930046081543","2.31326961517334","2.3436700999736786","2.338149309158325","2.3474433422088623"
"1271","2.3005829016367594","2.2983059883117676","2.3045992851257324","2.3166597485542297","2.3077292442321777","2.322913646697998"
"1301","2.2842148780822753","2.1734635829925537","2.2963004112243652","2.4013149738311768","2.3713107109069824","2.4700255393981934"
"1351","1.5715295235315958","1.5642452239990234","1.603670358657837","2.0778428614139557","2.037543773651123","2.118694543838501"
"1366","1.0747838179270426","1.062021255493164","1.0899529457092285","1.7720902264118195","1.7336825132369995","1.8390835523605347"
"1403","2.1673455397288004","2.1260883808135986","2.2071566581726074","2.2256923615932465","2.201931953430176","2.2525949478149414"
"1408","2.2859463691711426","2.277555465698242","2.2993617057800293","2.401104986667633","2.366769313812256","2.408616065979004"
"1428","2.3022586504618325","2.2565181255340576","2.313994884490967","2.393654853105545","2.340923547744751","2.4207229614257812"
"1446","2.3092902024586994","2.3022470474243164","2.3141801357269287","2.345150649547577","2.3308372497558594","2.3518903255462646"
"1447","1.5176089763641358","1.4910929203033447","1.5434584617614746","2.025742083787918","1.9889335632324219","2.0775725841522217"
"1448","2.287802521387736","2.158578872680664","2.316943645477295","2.587414026260376","2.564301013946533","2.60685133934021"
"1470","1.92792653242747","1.8844190835952759","1.9711498022079468","2.1110156774520874","2.104254961013794","2.133401393890381"
