"Step","postactivation_production: mlp - Train/Accuracy","postactivation_production: mlp - Train/Accuracy__MIN","postactivation_production: mlp - Train/Accuracy__MAX","postactivation_production: kan - Train/Accuracy","postactivation_production: kan - Train/Accuracy__MIN","postactivation_production: kan - Train/Accuracy__MAX"
"1702","0.12395833333333334","0.0625","0.171875","0.181640625","0.171875","0.203125"
"1718","0.109375","0.078125","0.15625","0.095703125","0.09375","0.109375"
"1741","0.11979166666666667","0.0625","0.15625","0.0625","0.0625","0.0625"
"1760","0.23645833333333333","0.203125","0.265625","0.248046875","0.234375","0.25"
"1773","0.6885416666666667","0.609375","0.765625","0.673828125","0.671875","0.6875"
"1782","0.09270833333333334","0.046875","0.125","0.046875","0.03125","0.0625"
"1792","0.109375","0.0625","0.1875","0.05078125","0.03125","0.0625"
"1796","0.14270833333333333","0.109375","0.21875","0.162109375","0.140625","0.203125"
"1814","0.23229166666666667","0.1875","0.28125","0.205078125","0.1875","0.21875"
"1821","0.14270833333333333","0.09375","0.1875","0.12890625","0.109375","0.171875"
"1830","0.13854166666666667","0.109375","0.171875","0.12890625","0.125","0.140625"
"1832","0.06770833333333333","0.03125","0.109375","0.07421875","0.0625","0.078125"
"1833","0.5802083333333333","0.5625","0.609375","0.576171875","0.53125","0.59375"
"1846","0.13854166666666667","0.09375","0.1875","0.16015625","0.15625","0.171875"
"1897","0.42291666666666666","0.40625","0.453125","0.466796875","0.4375","0.484375"
"1933","0.10625","0.046875","0.140625","0.087890625","0.0625","0.109375"
"1944","0.49895833333333334","0.453125","0.5625","0.478515625","0.46875","0.5"
"1956","0.15833333333333333","0.078125","0.1875","0.052734375","0.046875","0.0625"
"1985","0.09479166666666666","0.0625","0.140625","0.17578125","0.171875","0.1875"
"1991","0.6958333333333333","0.671875","0.71875","0.69921875","0.6875","0.71875"
"2014","0.19375","0.140625","0.234375","0.158203125","0.140625","0.171875"
"2028","0.22395833333333334","0.125","0.328125","0.068359375","0.0625","0.078125"
"2034","0.6020833333333333","0.546875","0.671875","0.568359375","0.546875","0.625"
"2049","0.41875","0.375","0.453125","0.455078125","0.4375","0.484375"
