"Step","postactivation_production: kan - Train/Losses_every_step","postactivation_production: kan - Train/Losses_every_step__MIN","postactivation_production: kan - Train/Losses_every_step__MAX","postactivation_production: mlp - Train/Losses_every_step","postactivation_production: mlp - Train/Losses_every_step__MIN","postactivation_production: mlp - Train/Losses_every_step__MAX"
"612","2.257517910003662","2.19631290435791","2.3833351135253906","2.145814371109009","1.7028448581695557","2.3014166355133057"
"645","2.2641161918640136","2.222475051879883","2.339266777038574","2.089671802520752","1.4487698078155518","2.3697733879089355"
"651","2.336753177642822","2.3157877922058105","2.3534536361694336","2.1740914821624755","1.9465548992156982","2.3481061458587646"
"685","2.187966823577881","2.0601096153259277","2.2914657592773438","1.9794895648956299","1.3105204105377197","2.4355406761169434"
"751","2.2997637748718263","2.224238395690918","2.371087074279785","1.9875558376312257","1.577057123184204","2.314441442489624"
"762","2.3419589042663573","2.2933826446533203","2.3925681114196777","2.22827730178833","2.041348457336426","2.326798439025879"
"788","2.2331867694854735","2.0737857818603516","2.3766894340515137","2.055187225341797","1.1157498359680176","2.3215842247009277"
"801","2.263377618789673","2.220519781112671","2.3083481788635254","2.2607097148895265","2.1288375854492188","2.322901487350464"
"806","2.2847660064697264","2.1259074211120605","2.3371026515960693","1.6576276779174806","1.0495657920837402","2.323798179626465"
"812","2.296216583251953","2.2111382484436035","2.3588943481445312","2.295823574066162","2.122642755508423","2.3831326961517334"
"839","2.1936267852783202","2.134373903274536","2.2559471130371094","2.115966868400574","1.7285245656967163","2.3027687072753906"
"884","2.333917760848999","2.2142395973205566","2.4069862365722656","2.2130292415618897","1.8953468799591064","2.3022186756134033"
"921","2.137551760673523","1.9352478981018066","2.3217697143554688","2.2470972537994385","2.121312141418457","2.315767765045166"
"947","2.0767409563064576","1.8754078149795532","2.358663558959961","2.001935029029846","1.0561152696609497","2.317656993865967"
"961","1.9748400688171386","1.8153668642044067","2.2504024505615234","2.049810361862183","1.4388318061828613","2.3083651065826416"
"964","2.230956959724426","1.940071702003479","2.41963267326355","2.283837890625","2.1967275142669678","2.307457447052002"
"975","2.3054489135742187","2.174304723739624","2.3707523345947266","2.1988577365875246","1.8956120014190674","2.316288471221924"
"990","2.237686109542847","2.172347068786621","2.3454346656799316","1.6044774413108827","0.8826578259468079","2.314115047454834"
"996","2.144956588745117","1.782954454421997","2.3074522018432617","2.1143892765045167","1.360610008239746","2.314643383026123"
