"Step","postactivation_production: kan - Train/Accuracies_every_step","postactivation_production: kan - Train/Accuracies_every_step__MIN","postactivation_production: kan - Train/Accuracies_every_step__MAX","postactivation_production: mlp - Train/Accuracies_every_step","postactivation_production: mlp - Train/Accuracies_every_step__MIN","postactivation_production: mlp - Train/Accuracies_every_step__MAX"
"101","0.078125","0.078125","0.078125","0.0625","0.0625","0.0625"
"102","0.0625","0","0.125","0.09765625","0.0625","0.171875"
"103","0.046875","0.046875","0.046875","0.3125","0.3125","0.3125"
"104","0.078125","0.078125","0.078125","","",""
"105","0.140625","0.140625","0.140625","0.078125","0.078125","0.078125"
"106","0.0625","0.0625","0.0625","","",""
"107","0.15625","0.15625","0.15625","0.015625","0.015625","0.015625"
"108","0.0625","0.0625","0.0625","0.140625","0.140625","0.140625"
"109","0.171875","0.171875","0.171875","0.078125","0.078125","0.078125"
"110","0.15625","0.15625","0.15625","","",""
"111","0.109375","0.109375","0.109375","","",""
"112","0.109375","0.109375","0.109375","","",""
"113","0.0625","0.0625","0.0625","","",""
"114","0.0625","0.0625","0.0625","","",""
"115","0.109375","0.109375","0.109375","","",""
"116","0.078125","0.078125","0.078125","","",""
"117","0.09375","0.09375","0.09375","0.3125","0.3125","0.3125"
"118","0.1328125","0.109375","0.15625","0.21875","0.125","0.25"
"119","0.078125","0.078125","0.078125","","",""
"120","0.09375","0.09375","0.09375","","",""
"121","0.078125","0.078125","0.078125","0.109375","0.109375","0.109375"
"122","0.109375","0.109375","0.109375","","",""
"123","0.0625","0.0625","0.0625","0.109375","0.109375","0.109375"
"124","0.03125","0.03125","0.03125","","",""
"125","0.140625","0.140625","0.140625","0.078125","0.078125","0.078125"
"126","0.078125","0.078125","0.078125","","",""
"127","0.0625","0.0625","0.0625","0.125","0.125","0.125"
"128","0.109375","0.109375","0.109375","0.265625","0.265625","0.265625"
"129","0.078125","0.078125","0.078125","","",""
"130","0.078125","0.078125","0.078125","","",""
"131","0.078125","0.078125","0.078125","","",""
"132","0.03125","0.03125","0.03125","","",""
"133","0.15625","0.15625","0.15625","","",""
"134","0.125","0.125","0.125","","",""
"135","0.078125","0.078125","0.078125","0.265625","0.265625","0.265625"
"136","0.09375","0.09375","0.09375","0.078125","0.078125","0.078125"
"137","0.1875","0.1875","0.1875","","",""
"138","0.109375","0.109375","0.109375","0.09375","0.09375","0.09375"
"139","0.09375","0.09375","0.09375","0.125","0.125","0.125"
"140","0.09375","0.09375","0.09375","","",""
"141","0.125","0.125","0.125","","",""
"142","0.109375","0.109375","0.109375","0.09375","0.09375","0.09375"
"143","0.0625","0.0625","0.0625","0.75","0.75","0.75"
"144","0.109375","0.109375","0.109375","","",""
"145","0.078125","0.078125","0.078125","0.140625","0.140625","0.140625"
"146","0.09375","0.09375","0.09375","0.203125","0.203125","0.203125"
"147","0.09375","0.09375","0.09375","","",""
"148","0.078125","0.046875","0.109375","0.125","0.03125","0.15625"
"149","0.078125","0.078125","0.078125","0.109375","0.109375","0.109375"
"150","0.296875","0.265625","0.328125","0.140625","0.140625","0.140625"
"151","0.296875","0.296875","0.296875","","",""
"152","0.046875","0.046875","0.046875","0.109375","0.109375","0.109375"
"153","0.28125","0.109375","0.453125","0.06640625","0.0625","0.078125"
"154","0.09375","0.09375","0.09375","0.203125","0.15625","0.34375"
"155","0.296875","0.296875","0.296875","","",""
"156","0.21875","0.21875","0.21875","0.0625","0.0625","0.0625"
"157","0.4375","0.4375","0.4375","0.140625","0.140625","0.140625"
"158","0.15625","0.15625","0.15625","0.59375","0.59375","0.59375"
"159","0.609375","0.609375","0.609375","0.109375","0.109375","0.109375"
"160","0.109375","0.109375","0.109375","","",""
"161","0.078125","0.078125","0.078125","","",""
"162","0.1171875","0.109375","0.125","0.0859375","0.0625","0.09375"
"163","0.2421875","0.234375","0.25","0.1796875","0.140625","0.296875"
"164","0.46875","0.46875","0.46875","0.125","0.125","0.125"
"165","0.125","0.125","0.125","","",""
"166","0.2421875","0.0625","0.421875","0.4453125","0.09375","0.5625"
"167","0.34375","0.34375","0.34375","0.28125","0.28125","0.28125"
"168","0.640625","0.640625","0.640625","","",""
"169","0.328125","0.328125","0.328125","0.265625","0.265625","0.265625"
"170","0.09375","0.09375","0.09375","0.234375","0.234375","0.234375"
"171","0.03125","0.03125","0.03125","0.03125","0.03125","0.03125"
"172","0.125","0.125","0.125","0.09375","0.09375","0.09375"
"173","0.171875","0.171875","0.171875","0.109375","0.109375","0.109375"
"174","0.125","0.125","0.125","0.09375","0.09375","0.09375"
"175","0.3046875","0.28125","0.328125","0.25","0.125","0.625"
"176","0.296875","0.296875","0.296875","","",""
"177","0.265625","0.265625","0.265625","0.09375","0.09375","0.09375"
"178","0.296875","0.296875","0.296875","","",""
"179","0.28125","0.28125","0.28125","","",""
"180","0.21875","0.21875","0.21875","","",""
"181","0.09375","0.09375","0.09375","","",""
"182","0.125","0.125","0.125","0.421875","0.421875","0.421875"
"183","0.203125","0.203125","0.203125","","",""
"184","0.3203125","0.109375","0.53125","0.109375","0.0625","0.25"
"185","0.125","0.125","0.125","0.5625","0.5625","0.5625"
"186","0.640625","0.640625","0.640625","","",""
"187","0.46875","0.46875","0.46875","0.1875","0.1875","0.1875"
"188","0.34375","0.34375","0.34375","","",""
"189","0.125","0.125","0.125","0.28125","0.28125","0.28125"
"190","0.265625","0.265625","0.265625","","",""
"191","0.078125","0.078125","0.078125","","",""
"192","0.3203125","0.21875","0.421875","0.49609375","0.15625","0.609375"
"193","","","","0.09375","0.09375","0.09375"
"194","","","","0.203125","0.203125","0.203125"
"195","","","","0.109375","0.109375","0.109375"
"196","","","","0.09375","0.09375","0.09375"
"197","","","","0.125","0.125","0.125"
"202","","","","0.109375","0.109375","0.109375"
"209","","","","0.171875","0.171875","0.171875"
"211","","","","0.328125","0.328125","0.328125"
"213","","","","0.359375","0.359375","0.359375"
"221","","","","0.140625","0.140625","0.140625"
"222","","","","0.109375","0.109375","0.109375"
"223","","","","0.234375","0.234375","0.234375"
"224","0.0625","0.0625","0.0625","0.09375","0.046875","0.109375"
"225","","","","0.078125","0.078125","0.078125"
"226","","","","0.0625","0.0625","0.0625"
"227","","","","0.140625","0.140625","0.140625"
"229","","","","0.125","0.125","0.125"
"230","","","","0.28125","0.28125","0.28125"
"231","","","","0.484375","0.484375","0.484375"
"233","","","","0.1875","0.1875","0.1875"
"234","","","","0.171875","0.171875","0.171875"
"235","","","","0.171875","0.171875","0.171875"
"237","","","","0.078125","0.078125","0.078125"
"238","","","","0.046875","0.046875","0.046875"
"240","","","","0.1875","0.1875","0.1875"
"243","","","","0.1875","0.1875","0.1875"
"244","","","","0.09375","0.09375","0.09375"
"246","","","","0.09375","0.09375","0.09375"
"247","","","","0.109375","0.109375","0.109375"
"249","0.3125","0.3125","0.3125","0.08984375","0.078125","0.125"
"253","","","","0.0625","0.0625","0.0625"
"254","","","","0.359375","0.359375","0.359375"
"255","","","","0.09375","0.09375","0.09375"
"256","","","","0.375","0.375","0.375"
"258","0.078125","0.078125","0.078125","0.08203125","0.078125","0.09375"
"265","0.1875","0.1875","0.1875","0.1015625","0.09375","0.125"
"267","","","","0.390625","0.390625","0.390625"
"269","","","","0.046875","0.046875","0.046875"
"272","","","","0.59375","0.59375","0.59375"
"273","","","","0.25","0.25","0.25"
"275","","","","0.5625","0.5625","0.5625"
"276","","","","0.34375","0.34375","0.34375"
"277","0.296875","0.296875","0.296875","0.07421875","0.046875","0.15625"
"279","","","","0.15625","0.15625","0.15625"
"280","0.46875","0.46875","0.46875","0.10546875","0.09375","0.140625"
"283","","","","0.046875","0.046875","0.046875"
"286","","","","0.125","0.125","0.125"
"289","","","","0.296875","0.296875","0.296875"
"291","0.109375","0.109375","0.109375","0.46875","0.09375","0.59375"
"293","","","","0.28125","0.28125","0.28125"
"294","0.140625","0.140625","0.140625","0.078125","0.046875","0.109375"
"300","0.296875","0.296875","0.296875","0.1015625","0.0625","0.21875"
"302","","","","0.40625","0.40625","0.40625"
"303","","","","0.21875","0.21875","0.21875"
"304","0.078125","0.078125","0.078125","0.12890625","0.09375","0.234375"
"305","","","","0.21875","0.21875","0.21875"
"308","0.5625","0.5625","0.5625","0.140625","0.109375","0.15625"
"309","","","","0.234375","0.234375","0.234375"
"313","","","","0.1328125","0.125","0.140625"
"314","","","","0.140625","0.140625","0.140625"
"315","","","","0.0625","0.0625","0.0625"
"316","","","","0.125","0.09375","0.15625"
"317","0.109375","0.109375","0.109375","0.16796875","0.140625","0.234375"
"318","","","","0.234375","0.234375","0.234375"
