"Step","postactivation_production: mlp - Train/Accuracies_every_step","postactivation_production: mlp - Train/Accuracies_every_step__MIN","postactivation_production: mlp - Train/Accuracies_every_step__MAX"
"48","0.23214285714285715","0.078125","0.453125"
"59","0.13839285714285715","0.03125","0.296875"
"72","0.203125","0.046875","0.328125"
"118","0.14285714285714285","0.078125","0.28125"
"148","0.14732142857142858","0.078125","0.265625"
"150","0.26785714285714285","0.203125","0.34375"
"153","0.40848214285714285","0.109375","0.640625"
"154","0.25223214285714285","0.078125","0.453125"
"163","0.13616071428571427","0.046875","0.3125"
"184","0.14955357142857142","0.109375","0.296875"
"224","0.23883928571428573","0.09375","0.609375"
"249","0.16071428571428573","0.03125","0.25"
"258","0.13392857142857142","0.0625","0.1875"
"265","0.21651785714285715","0.078125","0.453125"
"277","0.2611607142857143","0.140625","0.328125"
"280","0.1875","0.078125","0.421875"
"291","0.22544642857142858","0.109375","0.375"
"300","0.15848214285714285","0.09375","0.234375"
"304","0.22544642857142858","0.015625","0.59375"
"317","0.21428571428571427","0.109375","0.453125"
"336","0.18526785714285715","0.0625","0.34375"
"352","0.16741071428571427","0.0625","0.359375"
"388","0.08928571428571429","0.046875","0.109375"
"424","0.16071428571428573","0.046875","0.25"
"429","0.13839285714285715","0.078125","0.328125"
"476","0.17410714285714285","0.046875","0.484375"
"514","0.20089285714285715","0.078125","0.65625"
"533","0.35714285714285715","0.078125","0.546875"
"585","0.19866071428571427","0.046875","0.4375"
"612","0.09598214285714286","0.078125","0.125"
"645","0.21875","0.09375","0.578125"
"651","0.15401785714285715","0.03125","0.375"
"685","0.13616071428571427","0.09375","0.203125"
"751","0.11160714285714286","0.03125","0.25"
"762","0.3794642857142857","0.109375","0.578125"
"788","0.13839285714285715","0.078125","0.25"
"801","0.15401785714285715","0.0625","0.25"
"806","0.3549107142857143","0.125","0.6875"
"812","0.2544642857142857","0.078125","0.5625"
"839","0.2767857142857143","0.046875","0.59375"
"884","0.203125","0.03125","0.328125"
"921","0.11830357142857142","0.03125","0.234375"
"947","0.2857142857142857","0.078125","0.59375"
"961","0.21428571428571427","0.09375","0.5"
"964","0.16964285714285715","0.0625","0.234375"
"975","0.21428571428571427","0.109375","0.328125"
"990","0.10714285714285714","0.0625","0.203125"
"996","0.14732142857142858","0.0625","0.234375"
"997","0.21875","0.0625","0.453125"
"1020","0.12276785714285714","0.09375","0.171875"
"1049","0.18080357142857142","0.125","0.234375"
"1066","0.16741071428571427","0.078125","0.328125"
"1074","0.12053571428571429","0.078125","0.265625"
"1103","0.15625","0.03125","0.28125"
"1112","0.30580357142857145","0.109375","0.609375"
"1128","0.10044642857142858","0.078125","0.140625"
