"Step","postactivation_production: mlp - Train/Losses_every_step","postactivation_production: mlp - Train/Losses_every_step__MIN","postactivation_production: mlp - Train/Losses_every_step__MAX"
"48","2.2855895246778215","2.251255989074707","2.3041794300079346"
"59","2.30056939806257","2.2877907752990723","2.3185863494873047"
"72","2.294777120862688","2.2777462005615234","2.3175296783447266"
"118","2.2931201117379323","2.251811981201172","2.3161234855651855"
"148","2.2928619725363597","2.2383909225463867","2.3460893630981445"
"150","2.2171593393598283","2.156128406524658","2.265535831451416"
"153","2.1496004377092635","2.0381624698638916","2.310153007507324"
"154","2.21770749773298","2.0645558834075928","2.3198776245117188"
"163","2.308048588888986","2.1765341758728027","2.3646254539489746"
"184","2.2853070327213834","2.1578598022460938","2.3333964347839355"
"224","2.2253356831414357","1.888800024986267","2.3888635635375977"
"249","2.30025383404323","2.1835713386535645","2.388256072998047"
"258","2.3209927082061768","2.2884111404418945","2.375648021697998"
"265","2.2050910336630687","1.907540202140808","2.3728296756744385"
"277","2.1911234174455916","2.1210882663726807","2.307176351547241"
"280","2.2207495144435336","1.9156951904296875","2.3569934368133545"
"291","2.211012772151402","2.0200090408325195","2.4125444889068604"
"300","2.272876705442156","2.207169771194458","2.3336105346679688"
"304","2.235862033707755","1.8824857473373413","2.4782071113586426"
"317","2.23823424748012","2.012075901031494","2.3698647022247314"
"336","2.2567269802093506","2.0577611923217773","2.4226245880126953"
"352","2.269324387822832","1.9470614194869995","2.3754477500915527"
"388","2.3430776255471364","2.3030004501342773","2.3971610069274902"
"424","2.3299764565059116","2.2005109786987305","2.5580286979675293"
"429","2.314023460660662","2.159207344055176","2.363842487335205"
"476","2.212646280016218","1.4918537139892578","2.3981947898864746"
"514","2.1573797123772755","1.317984700202942","2.3507614135742188"
"533","1.7926095724105835","1.275912880897522","2.3278374671936035"
"585","2.177586453301566","1.9059278964996338","2.324345350265503"
"612","2.331066472189767","2.3076844215393066","2.3683061599731445"
"645","2.130141956465585","1.278694748878479","2.348752975463867"
"651","2.22651697908129","1.8506815433502197","2.440197467803955"
"685","2.303696802684239","2.20175838470459","2.419935703277588"
"751","2.3578071934836253","2.2130589485168457","2.4133493900299072"
"762","1.8287396430969238","0.9915085434913635","2.355135440826416"
"788","2.2926046507699147","2.243253231048584","2.3246734142303467"
"801","2.2928152765546526","2.244506597518921","2.3450324535369873"
"806","2.01950717823846","0.813885509967804","2.9038095474243164"
"812","1.948436873299735","0.9961663484573364","2.5343563556671143"
"839","1.8391735127993993","0.8317726254463196","2.3755149841308594"
"884","2.2352608272007535","2.0985355377197266","2.3986458778381348"
"921","2.3499251093183244","2.2708921432495117","2.3933303356170654"
"947","1.909138458115714","1.0500880479812622","2.3799004554748535"
"961","2.2326604298182895","1.7650787830352783","2.388242244720459"
"964","2.285656043461391","2.2267355918884277","2.3690288066864014"
"975","2.232240744999477","2.156461715698242","2.30507755279541"
"990","2.3389764513288225","2.2209458351135254","2.4011178016662598"
"996","2.301062379564558","2.2762584686279297","2.3376669883728027"
"997","2.1494517496653964","1.8097379207611084","2.456733226776123"
"1020","2.313292537416731","2.2667298316955566","2.3325626850128174"
"1049","2.265302896499634","2.2213504314422607","2.3012442588806152"
"1066","2.2621309416634694","2.130779266357422","2.342686653137207"
"1074","2.290640013558524","2.1500182151794434","2.3672192096710205"
"1103","2.2760170868464877","2.1599972248077393","2.373225212097168"
"1112","2.011524728366307","1.0548213720321655","2.3153669834136963"
"1128","2.3465604100908553","2.301128625869751","2.3817386627197266"
"1130","2.309937988008772","2.1859335899353027","2.3667616844177246"
"1136","2.257763045174735","2.1406102180480957","2.327914237976074"
"1164","2.3041063717433383","2.227752208709717","2.4338607788085938"
"1167","2.228286096027919","2.085989475250244","2.3158650398254395"
"1182","2.2409160818372453","2.159818649291992","2.356625556945801"
"1216","1.8651452916009086","0.7861717939376831","2.378897190093994"
"1232","2.0504381316048756","0.9665448665618896","2.3990330696105957"
"1238","2.2983905587877547","2.1814796924591064","2.3367791175842285"
"1252","2.041697076388768","1.8904547691345215","2.2965545654296875"
"1268","2.3473477022988454","2.1848788261413574","2.390681743621826"
"1271","2.2497357981545583","2.1452832221984863","2.3399438858032227"
"1301","2.1532925197056363","0.9938466548919678","2.4089550971984863"
"1351","2.2123214347021922","1.8877543210983276","2.351512908935547"
"1366","2.16397271837507","1.8421244621276855","2.333592414855957"
"1403","2.2643909794943675","2.011359453201294","2.3383071422576904"
"1408","2.121121713093349","0.9157631397247314","2.361222505569458"
"1428","2.133805445262364","1.9078383445739746","2.3061060905456543"
"1446","2.2344936473029002","1.8713587522506714","2.3219640254974365"
"1447","2.3308883735111783","2.2967326641082764","2.38162899017334"
"1448","2.071219273975917","0.6834523677825928","2.3617541790008545"
"1470","1.7608818071229118","0.5959540009498596","2.2969346046447754"
