"Step","postactivation_production: kan - Train/Losses_every_step","postactivation_production: kan - Train/Losses_every_step__MIN","postactivation_production: kan - Train/Losses_every_step__MAX","postactivation_production: mlp - Train/Losses_every_step","postactivation_production: mlp - Train/Losses_every_step__MIN","postactivation_production: mlp - Train/Losses_every_step__MAX"
"51","2.3025503158569336","2.3025503158569336","2.3025503158569336","2.298659324645996","2.298659324645996","2.298659324645996"
"52","2.3068013191223145","2.3068013191223145","2.3068013191223145","2.299956798553467","2.299956798553467","2.299956798553467"
"53","2.3050849437713623","2.3050849437713623","2.3050849437713623","2.2984533309936523","2.2984533309936523","2.2984533309936523"
"54","2.3064658641815186","2.3064658641815186","2.3064658641815186","","",""
"55","2.306691884994507","2.306691884994507","2.306691884994507","","",""
"56","2.308936834335327","2.308936834335327","2.308936834335327","2.303819179534912","2.303819179534912","2.303819179534912"
"57","2.304123878479004","2.304123878479004","2.304123878479004","2.301769733428955","2.301769733428955","2.301769733428955"
"58","2.301470398902893","2.2997653484344482","2.303175449371338","2.3013254404067993","2.299490451812744","2.304802894592285"
"59","2.302692174911499","2.301055908203125","2.304328441619873","2.3033888936042786","2.3026037216186523","2.3053672313690186"
"60","2.3022592067718506","2.3022592067718506","2.3022592067718506","","",""
"61","2.2998292446136475","2.2998292446136475","2.2998292446136475","","",""
"62","2.3056952953338623","2.3056952953338623","2.3056952953338623","2.295848846435547","2.295848846435547","2.295848846435547"
"63","2.304532051086426","2.304532051086426","2.304532051086426","2.302324950695038","2.300053119659424","2.3065292835235596"
"64","2.305307149887085","2.305307149887085","2.305307149887085","","",""
"65","2.3026747703552246","2.3026747703552246","2.3026747703552246","","",""
"66","2.3066606521606445","2.3066606521606445","2.3066606521606445","2.302977442741394","2.3015947341918945","2.3043601512908936"
"67","2.3044562339782715","2.3044562339782715","2.3044562339782715","","",""
"68","2.302511692047119","2.302511692047119","2.302511692047119","2.30446457862854","2.30446457862854","2.30446457862854"
"69","2.3034019470214844","2.3034019470214844","2.3034019470214844","","",""
"70","2.303621530532837","2.303621530532837","2.303621530532837","2.299471378326416","2.299471378326416","2.299471378326416"
"71","2.3059444427490234","2.3059444427490234","2.3059444427490234","2.2964563369750977","2.2964563369750977","2.2964563369750977"
"72","2.301535964012146","2.2996110916137695","2.3034608364105225","2.30169677734375","2.300736427307129","2.304335594177246"
"73","2.3029656410217285","2.3029656410217285","2.3029656410217285","2.2981104850769043","2.2981104850769043","2.2981104850769043"
"74","2.3091275691986084","2.3091275691986084","2.3091275691986084","2.304302215576172","2.304302215576172","2.304302215576172"
"75","2.303495407104492","2.303495407104492","2.303495407104492","","",""
"76","2.3034915924072266","2.3034915924072266","2.3034915924072266","2.3041003942489624","2.3026468753814697","2.305553913116455"
"77","2.304805874824524","2.3034396171569824","2.3061721324920654","2.3057860732078552","2.3036625385284424","2.3069610595703125"
"78","2.3044228553771973","2.3044228553771973","2.3044228553771973","","",""
"79","2.302910804748535","2.302910804748535","2.302910804748535","2.3052845001220703","2.3052845001220703","2.3052845001220703"
"80","2.3008975982666016","2.3008975982666016","2.3008975982666016","","",""
"81","2.303584098815918","2.303584098815918","2.303584098815918","","",""
"82","2.301302194595337","2.301302194595337","2.301302194595337","2.304779529571533","2.304779529571533","2.304779529571533"
"83","2.3031351566314697","2.3031351566314697","2.3031351566314697","2.299217462539673","2.299217462539673","2.299217462539673"
"84","2.3019018173217773","2.3019018173217773","2.3019018173217773","2.2906603813171387","2.2906603813171387","2.2906603813171387"
"85","2.303091526031494","2.303091526031494","2.303091526031494","2.30100154876709","2.30100154876709","2.30100154876709"
"86","2.304036855697632","2.304036855697632","2.304036855697632","2.3085525035858154","2.3085525035858154","2.3085525035858154"
"87","2.3008198738098145","2.3008198738098145","2.3008198738098145","2.3005067110061646","2.29728364944458","2.303729772567749"
"88","2.3055903911590576","2.3055903911590576","2.3055903911590576","2.3024232387542725","2.3024232387542725","2.3024232387542725"
"89","2.3019280433654785","2.3019280433654785","2.3019280433654785","","",""
"90","2.3084323406219482","2.3084323406219482","2.3084323406219482","2.3029563426971436","2.3029563426971436","2.3029563426971436"
"91","2.3030662536621094","2.3030662536621094","2.3030662536621094","2.300562858581543","2.2992334365844727","2.3018922805786133"
"92","2.30268931388855","2.30268931388855","2.30268931388855","","",""
"93","2.300434112548828","2.300434112548828","2.300434112548828","2.2907540798187256","2.2907540798187256","2.2907540798187256"
"94","2.305227279663086","2.305227279663086","2.305227279663086","2.2911607027053833","2.2887723445892334","2.293549060821533"
"95","2.302164077758789","2.302164077758789","2.302164077758789","","",""
"96","2.307880163192749","2.307880163192749","2.307880163192749","2.2949196100234985","2.2922492027282715","2.2975900173187256"
"97","2.3029303550720215","2.3029303550720215","2.3029303550720215","","",""
"98","2.3011066913604736","2.3011066913604736","2.3011066913604736","2.2934646606445312","2.2934646606445312","2.2934646606445312"
"99","2.301795482635498","2.301795482635498","2.301795482635498","2.3056812286376953","2.3056812286376953","2.3056812286376953"
"100","2.303433418273926","2.303433418273926","2.303433418273926","2.309178352355957","2.309178352355957","2.309178352355957"
